,datum,bana,avd,pris
1,2016-08-13,ÅBY,2,200.000
2,2016-08-13,ÅBY,3,220.000
3,2016-08-13,ÅBY,4,200.000
4,2016-08-13,ÅBY,5,400.000
5,2016-08-13,ÅBY,6,200.000
6,2016-08-13,ÅBY,7,500.000
0,2016-08-07,DANNERO,1,100.000
1,2016-08-07,DANNERO,2,100.000
2,2016-08-07,DANNERO,3,600.000
3,2016-08-07,DANNERO,4,100.000
4,2016-08-07,DANNERO,5,150.000
5,2016-08-07,DANNERO,6,100.000
6,2016-08-07,DANNERO,7,100.000
0,2016-08-06,RÄTTVIK,1,125.000
1,2016-08-06,RÄTTVIK,2,100.000
2,2016-08-06,RÄTTVIK,3,150.000
3,2016-08-06,RÄTTVIK,4,100.000
4,2016-08-06,RÄTTVIK,5,100.000
5,2016-08-06,RÄTTVIK,6,110.000
6,2016-08-06,RÄTTVIK,7,300.000
0,2016-07-30,BOLLNÄS,1,100.000
1,2016-07-30,BOLLNÄS,2,100.000
2,2016-07-30,BOLLNÄS,3,125.000
3,2016-07-30,BOLLNÄS,4,100.000
4,2016-07-30,BOLLNÄS,5,100.000
5,2016-07-30,BOLLNÄS,6,150.000
6,2016-07-30,BOLLNÄS,7,110.000
0,2016-07-26,JÄGERSRO,1,100.000
1,2016-07-26,JÄGERSRO,2,70.000
2,2016-07-26,JÄGERSRO,3,550.000
3,2016-07-26,JÄGERSRO,4,70.000
4,2016-07-26,JÄGERSRO,5,70.000
5,2016-07-26,JÄGERSRO,6,1.000.000
6,2016-07-26,JÄGERSRO,7,250.000
0,2016-07-24,AXEVALLA,1,100.000
1,2016-07-24,AXEVALLA,2,100.000
2,2016-07-24,AXEVALLA,3,100.000
3,2016-07-24,AXEVALLA,4,100.000
4,2016-07-24,AXEVALLA,5,50.000
5,2016-07-24,AXEVALLA,6,1.000.000
6,2016-07-24,AXEVALLA,7,100.000
0,2016-07-23,AXEVALLA,1,100.000
1,2016-07-23,AXEVALLA,2,100.000
2,2016-07-23,AXEVALLA,3,150.000
3,2016-07-23,AXEVALLA,4,100.000
4,2016-07-23,AXEVALLA,5,100.000
5,2016-07-23,AXEVALLA,6,125.000
6,2016-07-23,AXEVALLA,7,110.000
0,2016-07-16,ÅRJÄNG,1,125.000
1,2016-07-16,ÅRJÄNG,2,100.000
2,2016-07-16,ÅRJÄNG,3,150.000
3,2016-07-16,ÅRJÄNG,4,100.000
4,2016-07-16,ÅRJÄNG,5,110.000
5,2016-07-16,ÅRJÄNG,6,100.000
6,2016-07-16,ÅRJÄNG,7,600.000
0,2016-07-10,JARLSBERG,1,100.000
1,2016-07-10,JARLSBERG,2,100.000
2,2016-07-10,JARLSBERG,3,200.000
3,2016-07-10,JARLSBERG,4,75.000
4,2016-07-10,JARLSBERG,5,40.000
5,2016-07-10,JARLSBERG,6,500.000
6,2016-07-10,JARLSBERG,7,100.000
0,2016-07-09,HALMSTAD,1,125.000
1,2016-07-09,HALMSTAD,2,100.000
2,2016-07-09,HALMSTAD,3,557.298
3,2016-07-09,HALMSTAD,4,100.000
4,2016-07-09,HALMSTAD,5,100.000
5,2016-07-09,HALMSTAD,6,150.000
6,2016-07-09,HALMSTAD,7,110.000
0,2016-07-07,HALMSTAD,1,125.000
1,2016-07-07,HALMSTAD,2,125.000
2,2016-07-07,HALMSTAD,3,125.000
3,2016-07-07,HALMSTAD,4,125.000
4,2016-07-07,HALMSTAD,5,150.000
5,2016-07-07,HALMSTAD,6,100.000
6,2016-07-07,HALMSTAD,7,100.000
0,2016-07-02,ESKILSTUNA,1,220.000
1,2016-07-02,ESKILSTUNA,2,250.000
2,2016-07-02,ESKILSTUNA,3,1.000.000
3,2016-07-02,ESKILSTUNA,4,200.000
4,2016-07-02,ESKILSTUNA,5,200.000
5,2016-07-02,ESKILSTUNA,6,1.000.000
6,2016-07-02,ESKILSTUNA,7,200.000
0,2016-06-26,KALMAR,1,125.000
1,2016-06-26,KALMAR,2,100.000
2,2016-06-26,KALMAR,3,100.000
3,2016-06-26,KALMAR,4,100.000
4,2016-06-26,KALMAR,5,100.000
5,2016-06-26,KALMAR,6,150.000
6,2016-06-26,KALMAR,7,110.000
0,2016-06-18,BODEN,1,110.000
1,2016-06-18,BODEN,2,100.000
2,2016-06-18,BODEN,3,100.000
3,2016-06-18,BODEN,4,100.000
4,2016-06-18,BODEN,5,100.000
5,2016-06-18,BODEN,6,125.000
6,2016-06-18,BODEN,7,1.000.000
0,2016-06-12,BJERKE,1,200.000
1,2016-06-12,BJERKE,2,110.000
2,2016-06-12,BJERKE,3,200.000
3,2016-06-12,BJERKE,4,175.000
4,2016-06-12,BJERKE,5,300.000
5,2016-06-12,BJERKE,6,200.000
6,2016-06-12,BJERKE,7,1.500.000
0,2016-06-11,ÖSTERSUND,1,100.000
1,2016-06-11,ÖSTERSUND,2,100.000
2,2016-06-11,ÖSTERSUND,3,125.000
3,2016-06-11,ÖSTERSUND,4,100.000
4,2016-06-11,ÖSTERSUND,5,110.000
5,2016-06-11,ÖSTERSUND,6,700.000
6,2016-06-11,ÖSTERSUND,7,100.000
0,2016-06-04,MANTORP,1,100.000
1,2016-06-04,MANTORP,2,125.000
2,2016-06-04,MANTORP,3,150.000
3,2016-06-04,MANTORP,4,100.000
4,2016-06-04,MANTORP,5,100.000
5,2016-06-04,MANTORP,6,300.000
6,2016-06-04,MANTORP,7,110.000
0,2016-05-29,SOLVALLA,1,300.000
1,2016-05-29,SOLVALLA,2,150.000
2,2016-05-29,SOLVALLA,3,250.000
3,2016-05-29,SOLVALLA,4,250.000
4,2016-05-29,SOLVALLA,5,300.000
5,2016-05-29,SOLVALLA,6,100.000
6,2016-05-29,SOLVALLA,7,500.000
0,2016-05-28,SOLVALLA,1,200.000
1,2016-05-28,SOLVALLA,2,200.000
2,2016-05-28,SOLVALLA,3,220.000
3,2016-05-28,SOLVALLA,4,200.000
4,2016-05-28,SOLVALLA,5,200.000
5,2016-05-28,SOLVALLA,6,200.000
6,2016-05-28,SOLVALLA,7,500.000
0,2016-05-21,GÄVLE,1,110.000
1,2016-05-21,GÄVLE,2,100.000
2,2016-05-21,GÄVLE,3,125.000
3,2016-05-21,GÄVLE,4,150.000
4,2016-05-21,GÄVLE,5,100.000
5,2016-05-21,GÄVLE,6,100.000
6,2016-05-21,GÄVLE,7,400.000
0,2016-05-15,CHARLOTTENLUND,1,80000
1,2016-05-15,CHARLOTTENLUND,2,125000
2,2016-05-15,CHARLOTTENLUND,3,100000
3,2016-05-15,CHARLOTTENLUND,4,100000
4,2016-05-15,CHARLOTTENLUND,5,150000
5,2016-05-15,CHARLOTTENLUND,6,100000
6,2016-05-15,CHARLOTTENLUND,7,375000
0,2016-05-14,ÅBY,1,125.000
1,2016-05-14,ÅBY,2,100.000
2,2016-05-14,ÅBY,3,150.000
3,2016-05-14,ÅBY,4,100.000
4,2016-05-14,ÅBY,5,928.830
5,2016-05-14,ÅBY,6,110.000
6,2016-05-14,ÅBY,7,928.830
0,2016-05-08,VERMO,1,10000
1,2016-05-08,VERMO,2,7000
2,2016-05-08,VERMO,3,11000
3,2016-05-08,VERMO,4,10000
4,2016-05-08,VERMO,5,10000
5,2016-05-08,VERMO,6,11000
6,2016-05-08,VERMO,7,110000
0,2016-05-07,ÖREBRO,1,110.000
1,2016-05-07,ÖREBRO,2,100.000
2,2016-05-07,ÖREBRO,3,150.000
3,2016-05-07,ÖREBRO,4,100.000
4,2016-05-07,ÖREBRO,5,100.000
5,2016-05-07,ÖREBRO,6,125.000
6,2016-05-07,ÖREBRO,7,400.000
0,2016-04-30,ÅBY,1,110.000
1,2016-04-30,ÅBY,2,100.000
2,2016-04-30,ÅBY,3,150.000
3,2016-04-30,ÅBY,4,100.000
4,2016-04-30,ÅBY,5,250.000
5,2016-04-30,ÅBY,6,1.500.000
6,2016-04-30,ÅBY,7,125.000
0,2016-04-23,UMÅKER,1,110.000
1,2016-04-23,UMÅKER,2,100.000
2,2016-04-23,UMÅKER,3,200.000
3,2016-04-23,UMÅKER,4,100.000
4,2016-04-23,UMÅKER,5,125.000
5,2016-04-23,UMÅKER,6,200.000
6,2016-04-23,UMÅKER,7,100.000
0,2016-04-16,JÄGERSRO,1,100.000
1,2016-04-16,JÄGERSRO,2,100.000
2,2016-04-16,JÄGERSRO,3,150.000
3,2016-04-16,JÄGERSRO,4,100.000
4,2016-04-16,JÄGERSRO,5,100.000
5,2016-04-16,JÄGERSRO,6,110.000
6,2016-04-16,JÄGERSRO,7,125.000
0,2016-04-09,AXEVALLA,1,100.000
1,2016-04-09,AXEVALLA,2,100.000
2,2016-04-09,AXEVALLA,3,125.000
3,2016-04-09,AXEVALLA,4,100.000
4,2016-04-09,AXEVALLA,5,100.000
5,2016-04-09,AXEVALLA,6,150.000
6,2016-04-09,AXEVALLA,7,110.000
0,2016-04-02,SOLVALLA,1,200.000
1,2016-04-02,SOLVALLA,2,220.000
2,2016-04-02,SOLVALLA,3,250.000
3,2016-04-02,SOLVALLA,4,200.000
4,2016-04-02,SOLVALLA,5,200.000
5,2016-04-02,SOLVALLA,6,200.000
6,2016-04-02,SOLVALLA,7,200.000
0,2016-03-27,ROMME,1,150.000
1,2016-03-27,ROMME,2,125.000
2,2016-03-27,ROMME,3,150.000
3,2016-03-27,ROMME,4,100.000
4,2016-03-27,ROMME,5,100.000
5,2016-03-27,ROMME,6,100.000
6,2016-03-27,ROMME,7,110.000
0,2016-03-25,FÄRJESTAD,1,100.000
1,2016-03-25,FÄRJESTAD,2,100.000
2,2016-03-25,FÄRJESTAD,3,100.000
3,2016-03-25,FÄRJESTAD,4,100.000
4,2016-03-25,FÄRJESTAD,5,100.000
5,2016-03-25,FÄRJESTAD,6,100.000
6,2016-03-25,FÄRJESTAD,7,250.000
0,2016-03-19,MOMARKEN,1,110.000
1,2016-03-19,MOMARKEN,2,105.000
2,2016-03-19,MOMARKEN,3,125.000
3,2016-03-19,MOMARKEN,4,125.000
4,2016-03-19,MOMARKEN,5,105.000
5,2016-03-19,MOMARKEN,6,250.000
6,2016-03-19,MOMARKEN,7,105.000
0,2016-03-12,KALMAR,1,100.000
1,2016-03-12,KALMAR,2,100.000
2,2016-03-12,KALMAR,3,150.000
3,2016-03-12,KALMAR,4,100.000
4,2016-03-12,KALMAR,5,110.000
5,2016-03-12,KALMAR,6,125.000
6,2016-03-12,KALMAR,7,100.000
0,2016-03-05,BERGSÅKER,1,110.000
1,2016-03-05,BERGSÅKER,2,100.000
2,2016-03-05,BERGSÅKER,3,150.000
3,2016-03-05,BERGSÅKER,4,100.000
4,2016-03-05,BERGSÅKER,5,100.000
5,2016-03-05,BERGSÅKER,6,100.000
6,2016-03-05,BERGSÅKER,7,125.000
0,2016-02-28,MANTORP,1,100.000
1,2016-02-28,MANTORP,2,100.000
2,2016-02-28,MANTORP,3,100.000
3,2016-02-28,MANTORP,4,100.000
4,2016-02-28,MANTORP,5,100.000
5,2016-02-28,MANTORP,6,100.000
6,2016-02-28,MANTORP,7,100.000
0,2016-02-27,HALMSTAD,1,125.000
1,2016-02-27,HALMSTAD,2,100.000
2,2016-02-27,HALMSTAD,3,100.000
3,2016-02-27,HALMSTAD,4,100.000
4,2016-02-27,HALMSTAD,5,100.000
5,2016-02-27,HALMSTAD,6,100.000
6,2016-02-27,HALMSTAD,7,110.000
0,2016-02-20,BOLLNÄS,1,100.000
1,2016-02-20,BOLLNÄS,2,100.000
2,2016-02-20,BOLLNÄS,3,150.000
3,2016-02-20,BOLLNÄS,4,100.000
4,2016-02-20,BOLLNÄS,5,100.000
5,2016-02-20,BOLLNÄS,6,100.000
6,2016-02-20,BOLLNÄS,7,110.000
0,2016-02-13,SOLVALLA,1,200.000
1,2016-02-13,SOLVALLA,2,200.000
2,2016-02-13,SOLVALLA,3,250.000
3,2016-02-13,SOLVALLA,4,200.000
4,2016-02-13,SOLVALLA,5,200.000
5,2016-02-13,SOLVALLA,6,200.000
6,2016-02-13,SOLVALLA,7,220.000
0,2016-02-06,JÄGERSRO,1,110.000
1,2016-02-06,JÄGERSRO,2,100.000
2,2016-02-06,JÄGERSRO,3,150.000
3,2016-02-06,JÄGERSRO,4,100.000
4,2016-02-06,JÄGERSRO,5,100.000
5,2016-02-06,JÄGERSRO,6,100.000
6,2016-02-06,JÄGERSRO,7,125.000
0,2016-01-31,SOLVALLA,1,100.000
1,2016-01-31,SOLVALLA,2,100.000
2,2016-01-31,SOLVALLA,3,100.000
3,2016-01-31,SOLVALLA,4,100.000
4,2016-01-31,SOLVALLA,5,100.000
5,2016-01-31,SOLVALLA,6,100.000
6,2016-01-31,SOLVALLA,7,100.000
0,2016-01-30,BERGSÅKER,1,125.000
1,2016-01-30,BERGSÅKER,2,100.000
2,2016-01-30,BERGSÅKER,3,150.000
3,2016-01-30,BERGSÅKER,4,100.000
4,2016-01-30,BERGSÅKER,5,100.000
5,2016-01-30,BERGSÅKER,6,100.000
6,2016-01-30,BERGSÅKER,7,110.000
0,2016-01-23,AXEVALLA,1,110.000
1,2016-01-23,AXEVALLA,2,100.000
2,2016-01-23,AXEVALLA,3,150.000
3,2016-01-23,AXEVALLA,4,100.000
4,2016-01-23,AXEVALLA,5,100.000
5,2016-01-23,AXEVALLA,6,100.000
6,2016-01-23,AXEVALLA,7,125.000
0,2016-01-16,GÄVLE,1,125.000
1,2016-01-16,GÄVLE,2,100.000
2,2016-01-16,GÄVLE,3,150.000
3,2016-01-16,GÄVLE,4,100.000
4,2016-01-16,GÄVLE,5,110.000
5,2016-01-16,GÄVLE,6,100.000
6,2016-01-16,GÄVLE,7,100.000
0,2016-01-09,ÅBY,1,100.000
1,2016-01-09,ÅBY,2,100.000
2,2016-01-09,ÅBY,3,100.000
3,2016-01-09,ÅBY,4,100.000
4,2016-01-09,ÅBY,5,110.000
5,2016-01-09,ÅBY,6,150.000
6,2016-01-09,ÅBY,7,125.000
0,2016-01-02,ROMME,1,100.000
1,2016-01-02,ROMME,2,100.000
2,2016-01-02,ROMME,3,150.000
3,2016-01-02,ROMME,4,100.000
4,2016-01-02,ROMME,5,100.000
5,2016-01-02,ROMME,6,110.000
6,2016-01-02,ROMME,7,125.000
0,2015-12-29,HALMSTAD,1,125.000
1,2015-12-29,HALMSTAD,2,100.000
2,2015-12-29,HALMSTAD,3,150.000
3,2015-12-29,HALMSTAD,4,100.000
4,2015-12-29,HALMSTAD,5,100.000
5,2015-12-29,HALMSTAD,6,110.000
6,2015-12-29,HALMSTAD,7,100.000
0,2015-12-26,SOLVALLA,1,200.000
1,2015-12-26,SOLVALLA,2,200.000
2,2015-12-26,SOLVALLA,3,250.000
3,2015-12-26,SOLVALLA,4,200.000
4,2015-12-26,SOLVALLA,5,200.000
5,2015-12-26,SOLVALLA,6,200.000
6,2015-12-26,SOLVALLA,7,220.000
0,2015-12-23,BERGSÅKER,1,110.000
1,2015-12-23,BERGSÅKER,2,100.000
2,2015-12-23,BERGSÅKER,3,100.000
3,2015-12-23,BERGSÅKER,4,125.000
4,2015-12-23,BERGSÅKER,5,40.000
5,2015-12-23,BERGSÅKER,6,100.000
6,2015-12-23,BERGSÅKER,7,100.000
0,2015-12-19,MANTORP,1,150.000
1,2015-12-19,MANTORP,2,100.000
2,2015-12-19,MANTORP,3,100.000
3,2015-12-19,MANTORP,4,100.000
4,2015-12-19,MANTORP,5,100.000
5,2015-12-19,MANTORP,6,110.000
6,2015-12-19,MANTORP,7,100.000
0,2015-12-12,ÅBY,1,100.000
1,2015-12-12,ÅBY,2,100.000
2,2015-12-12,ÅBY,3,150.000
3,2015-12-12,ÅBY,4,100.000
4,2015-12-12,ÅBY,5,100.000
5,2015-12-12,ÅBY,6,110.000
6,2015-12-12,ÅBY,7,125.000
0,2015-12-05,ROMME,1,100.000
1,2015-12-05,ROMME,2,100.000
2,2015-12-05,ROMME,3,150.000
3,2015-12-05,ROMME,4,100.000
4,2015-12-05,ROMME,5,150.000
5,2015-12-05,ROMME,6,110.000
6,2015-12-05,ROMME,7,125.000
0,2015-11-29,ÖREBRO,1,100.000
1,2015-11-29,ÖREBRO,2,100.000
2,2015-11-29,ÖREBRO,3,100.000
3,2015-11-29,ÖREBRO,4,100.000
4,2015-11-29,ÖREBRO,5,125.000
5,2015-11-29,ÖREBRO,6,200.000
6,2015-11-29,ÖREBRO,7,110.000
0,2015-11-28,JÄGERSRO,1,150.000
1,2015-11-28,JÄGERSRO,2,100.000
2,2015-11-28,JÄGERSRO,3,150.000
3,2015-11-28,JÄGERSRO,4,100.000
4,2015-11-28,JÄGERSRO,5,700.000
5,2015-11-28,JÄGERSRO,6,110.000
6,2015-11-28,JÄGERSRO,7,125.000
0,2015-11-21,BJERKE,1,125.000
1,2015-11-21,BJERKE,2,100.000
2,2015-11-21,BJERKE,3,150.000
3,2015-11-21,BJERKE,4,100.000
4,2015-11-21,BJERKE,5,100.000
5,2015-11-21,BJERKE,6,300.000
6,2015-11-21,BJERKE,7,110.000
0,2015-11-14,SOLVALLA,1,200.000
1,2015-11-14,SOLVALLA,2,200.000
2,2015-11-14,SOLVALLA,3,250.000
3,2015-11-14,SOLVALLA,4,200.000
4,2015-11-14,SOLVALLA,5,400.000
5,2015-11-14,SOLVALLA,6,200.000
6,2015-11-14,SOLVALLA,7,220.000
0,2015-11-08,ESKILSTUNA,1,800.000
1,2015-11-08,ESKILSTUNA,2,100.000
2,2015-11-08,ESKILSTUNA,3,800.000
3,2015-11-08,ESKILSTUNA,4,100.000
4,2015-11-08,ESKILSTUNA,5,800.000
5,2015-11-08,ESKILSTUNA,6,100.000
6,2015-11-08,ESKILSTUNA,7,800.000
0,2015-11-07,ESKILSTUNA,1,125.000
1,2015-11-07,ESKILSTUNA,2,100.000
2,2015-11-07,ESKILSTUNA,3,150.000
3,2015-11-07,ESKILSTUNA,4,100.000
4,2015-11-07,ESKILSTUNA,5,100.000
5,2015-11-07,ESKILSTUNA,6,110.000
6,2015-11-07,ESKILSTUNA,7,100.000
0,2015-10-31,BERGSÅKER,1,110.000
1,2015-10-31,BERGSÅKER,2,150.000
2,2015-10-31,BERGSÅKER,3,150.000
3,2015-10-31,BERGSÅKER,4,100.000
4,2015-10-31,BERGSÅKER,5,100.000
5,2015-10-31,BERGSÅKER,6,125.000
6,2015-10-31,BERGSÅKER,7,100.000
0,2015-10-25,SOLVALLA,1,100.000
1,2015-10-25,SOLVALLA,2,100.000
2,2015-10-25,SOLVALLA,3,100.000
3,2015-10-25,SOLVALLA,4,100.000
4,2015-10-25,SOLVALLA,5,100.000
5,2015-10-25,SOLVALLA,6,100.000
6,2015-10-25,SOLVALLA,7,100.000
0,2015-10-24,JÄGERSRO,1,125.000
1,2015-10-24,JÄGERSRO,2,100.000
2,2015-10-24,JÄGERSRO,3,100.000
3,2015-10-24,JÄGERSRO,4,100.000
4,2015-10-24,JÄGERSRO,5,100.000
5,2015-10-24,JÄGERSRO,6,110.000
6,2015-10-24,JÄGERSRO,7,500.000
0,2015-10-17,ÖREBRO,1,100.000
1,2015-10-17,ÖREBRO,2,125.000
2,2015-10-17,ÖREBRO,3,150.000
3,2015-10-17,ÖREBRO,4,100.000
4,2015-10-17,ÖREBRO,5,505.000
5,2015-10-17,ÖREBRO,6,110.000
6,2015-10-17,ÖREBRO,7,100.000
0,2015-10-10,ÅBY,1,100.000
1,2015-10-10,ÅBY,2,100.000
2,2015-10-10,ÅBY,3,500.000
3,2015-10-10,ÅBY,4,100.000
4,2015-10-10,ÅBY,5,500.000
5,2015-10-10,ÅBY,6,110.000
6,2015-10-10,ÅBY,7,125.000
