fas,Recall,F1,AUC,Accuracy,Precision
6-1,0.8571428571428571,0.7717013029640879,0.7980952380952381,0.7479277599515767,0.7017496276604587
6-1,0.8571428571428571,0.7958738680780704,0.8621031746031746,0.7769728540438128,0.7427796189984477
6-1,0.5714285714285714,0.6073324381436369,0.7101328903654485,0.6579745741934624,0.6480506024391768
6-1,0.5714285714285714,0.6030478200074684,0.6338155515370705,0.6357949355361671,0.6383712538917107
6-1,0.8571428571428571,0.7959251054268742,0.837953091684435,0.7690923205866084,0.7428688821758731
6-1,0.8571428571428571,0.7764500963501602,0.8452380952380952,0.7594857637576385,0.7096431840362847
6-1,0.8571428571428571,0.7959135956773916,0.7756539235412475,0.7754511055423519,0.7428488295916149
6-1,0.7142857142857143,0.6657164067214072,0.5781853281853282,0.6409947509894954,0.6233317019183311
6-1,0.8571428571428571,0.8009178635925084,0.8019047619047619,0.7881747319716877,0.7516150534698718
6-1,0.8571428571428571,0.7812284528857548,0.7295918367346939,0.7265135339852755,0.7176669813201874
6-1,0.8571428571428571,0.8008602469821288,0.8148496240601504,0.7895674795375976,0.7515135770155259
6-1,0.5714285714285714,0.6973302537035223,0.8153988868274582,0.7567346440348348,0.8943891836578478
6-1,0.8571428571428571,0.8059569650757655,0.825,0.7719237528132584,0.7605398996564767
6-1,0.8571428571428571,0.7958107347984378,0.7947558770343579,0.7871493487944007,0.7426696450140361
6-1,1.0,0.8410658502019689,0.8821892393320965,0.814676061859245,0.7257235886512987
6-1,0.8571428571428571,0.7859881876087009,0.8018108651911469,0.7616379465089536,0.725741630723813
6-1,0.8571428571428571,0.790871323831036,0.7936507936507937,0.7701102138201708,0.7341121311820831
6-1,1.0,0.8605974116825303,0.8822393822393823,0.8379272138044165,0.7791371139304496
6-1,1.0,0.8605971089789695,0.9095238095238096,0.821004293707848,0.7553053584125801
6-1,0.8571428571428571,0.7532729007070917,0.849624060150376,0.7229012321990145,0.6718562720470336
6-1,1.0,0.8706699580917389,0.8685714285714285,0.8524021987669609,0.7709614778515438
6-1,0.7142857142857143,0.6962294490407105,0.7504892367906066,0.6861137180917214,0.6790635566644225
6-1,0.8571428571428571,0.7532807579530462,0.7892857142857143,0.7300997639763307,0.6718687732543823
6-1,0.8571428571428571,0.7763353701529081,0.8756957328385899,0.7578491151193576,0.7094515412637896
6-1,0.7142857142857143,0.6784021489032496,0.7106690777576854,0.6722890964565706,0.6683917848744906
6-1,0.7142857142857143,0.6962739592693737,0.7228144989339019,0.6727706166910195,0.6791482466944414
6-1,0.7142857142857143,0.7150700784390668,0.7857142857142857,0.7113516746434132,0.7158561671220927
6-1,0.8571428571428571,0.7908371946487035,0.7876447876447876,0.7732023699679432,0.7340533209393039
6-1,0.7142857142857143,0.6871978863004461,0.736842105263158,0.6790626330364907,0.6620894934666179
6-1,0.5714285714285714,0.5944776268906755,0.6750503018108651,0.6019560714222323,0.6194642418065051
6-1,0.8571428571428571,0.816254875311631,0.8020408163265307,0.801610990583066,0.7790902111788052
6-1,1.0,0.8655794511691681,0.9065934065934066,0.848736352519338,0.7630146087015617
6-1,0.8571428571428571,0.8058921621380939,0.7817460317460317,0.7906345116728886,0.760424497477968
6-1,1.0,0.8655860483888371,0.8308823529411764,0.8380926980228728,0.7630248615679309
6-1,0.8571428571428571,0.7957630171489489,0.7857142857142857,0.7706500659298717,0.7425865340659191
6-1,0.8571428571428571,0.7532366655237721,0.7001763668430335,0.7318214142343609,0.671798622997994
6-1,0.7142857142857143,0.7054998826469505,0.7546992481203008,0.7057168692837268,0.6969275591679802
6-1,0.7142857142857143,0.7248427609253792,0.80625,0.7393240465032757,0.7357165524665271
6-1,0.8571428571428571,0.7859393706804385,0.8542857142857143,0.7680143972301869,0.7256583950230164
6-1,0.7142857142857143,0.6962429434826211,0.7635135135135135,0.6882353063554228,0.6790892315783179
6-1,0.7142857142857143,0.7055279673611187,0.8003663003663004,0.7095884577248021,0.7256635269604675
6-1,1.0,0.8810557545025329,0.9083011583011584,0.8649314899344414,0.7873991559881769
6-1,1.0,0.8656115711164751,0.9532967032967032,0.8487566914457647,0.7630645280544845
6-1,0.7142857142857143,0.6872262089166604,0.7238095238095238,0.6769139797897079,0.6621420769941606
6-1,1.0,0.8656280393494465,0.8501742160278746,0.8526428169061071,0.7630901233251707
6-1,1.0,0.8556588668582332,0.8669275929549902,0.8300480498839677,0.7477305866905597
6-1,1.0,0.8916941847246194,0.8687258687258688,0.878458883800748,0.804556082296708
6-1,0.8571428571428571,0.7670107697721081,0.8128390596745028,0.7479689625241406,0.6940306048096512
6-1,0.2857142857142857,0.34350163766827724,0.4798792756539235,0.4422475908404331,0.4305911698496081
6-1,0.8571428571428571,0.7860010593849801,0.7551020408163265,0.7711080773118686,0.7257635793091913
6-1,1.0,0.8863743253046681,0.9625,0.8767097313530726,0.7959356051549046
6-1,0.8571428571428571,0.7860305375801327,0.8214285714285714,0.7632867933452303,0.7258138469791308
6-1,0.7142857142857143,0.6963222457629191,0.7236024844720497,0.6773526099949974,0.6792401335022964
6-1,1.0,0.8656621370368025,0.8543233082706767,0.8467739799416324,0.7631431210234477
6-1,0.5714285714285714,0.5782995381093216,0.5979853479853481,0.5939687889088155,0.5853377514367589
6-1,0.7142857142857143,0.6872846222016208,0.6818181818181819,0.6811988290899889,0.6622505392898718
