datum,bana,avd,häst,kön,ålder,kusk,spår,vodds,podds,plac,start,lopp_dist,dist,tid,kr,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_kmtid,h1_odds,h1_pris,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_kmtid,h2_odds,h2_pris,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_kmtid,h3_odds,h3_pris,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_kmtid,h4_odds,h4_pris,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_kmtid,h5_odds,h5_pris
2020-04-18,UMÅKER,5,DOCTOR DOXEY ZENZ,h,7,Mathias Andersson,6,"15,22","3,63 - 5,60",0,AUTOSTART,1640M,1640,"1.12,9",23 507,200208,Solvalla,Mathias Andersson,0,2140,5,"13,8a","4,68",250',200125,Eskilstuna,Mathias Andersson,6,2140,5,"13,3a","2,89",125',200111,Bergsåker,Mathias Andersson,2,3140,4,"15,3a","1,67",125',191228,Romme,Mathias Andersson,1,2140,6,"12,8a","3,69",150',191218,Solvalla,Mathias Andersson,1,3160,4,"14,7","2,09",70'
2020-04-18,UMÅKER,5,EVEREST DE GINAI,h,6,Hannu Torvinen,9,"13,84","3,30 - 5,04",0,AUTOSTART,1640M,1640,"1.13,3",42 129,200306,Seinäjoki,Janne Manninen,2,1600,,"14,7a","4,60",,191019,Seinäjoki,Hannu Torvinen,0,2100,,"15,2a","5,50",,191005,Åbo,Mika Forss,1,2100,,"13,0a","5,50",,190922,Seinäjoki,Mika Forss,1,2100,,"13,3a","1,70",,190914,Åbo,Esa Holopainen,3,2100,,"12,1a","71,90",
2020-04-18,UMÅKER,5,ZORRO SWING,v,7,Jens Eriksson,3,"53,06","8,11 - 12,78",d,AUTOSTART,1640M,1640,ug,17 028,200405,Umåker,Jens Eriksson,0,2140,6,"15,4a","14,03",35',200319,Boden,Jens Eriksson,3,1640,1,"15,1","3,48",35',200229,Bergsåker,Jens Eriksson,0,2140,4,"14,4a","26,32",125',200215,Uleåborg,Jens Eriksson,1,1620,,"13,6a","5,40",,200207,Umåker,Jens Eriksson,1,2140,3,"15,5","7,62",35'
2020-04-18,UMÅKER,6,BETTER BOSS,v,6,Iikka Nurmonen,9,"1,89","1,19",1,AUTOSTART,2140M,2140,"1.12,6",13 150,200314,Vermo,Iikka Nurmonen,1,2120,,"14,0a","1,30",,200229,Lahti,Iikka Nurmonen,1,2140,,"13,4a","1,90",,200220,Lahti,Iikka Nurmonen,1,2140,,"14,5a","1,60",,200206,Lahti,Iikka Nurmonen,1,2140,,"16,4a","1,10",,200111,Lahti,Iikka Nurmonen,2,2640,,"14,2a","2,70",
2020-04-18,UMÅKER,6,MR CLAYTON J.F.,v,5,Örjan Kihlström,11,"5,70","1,56",2,AUTOSTART,2140M,2140,"1.12,7",24 145,200405,Hagmyren,Mats E Djuse,3,2140,6,"16,3g","2,04",20',200311,Solvalla,Jorma Kontio,1,2140,4,"14,8a","7,23",60',200228,Bollnäs,Mats E Djuse,6,1640,1,"12,7a","8,04",35',191109,Eskilstuna,Rikard N Skoglund,7,2140,1,"14,3g","46,94",125',190928,Solvalla,Örjan Kihlström,6,2140,7,"12,6a","22,72",250'
2020-04-18,UMÅKER,6,FINDUS M.,v,7,Jenny A Björk,3,"8,24","1,60",3,AUTOSTART,2140M,2140,"1.12,8",12 992,200326,Gävle,Jenny A Björk,2,2140,4,"13,5a","2,89",30',200310,Gävle,Ulf Ohlsson,2,2640,10,"16,4a","6,06",30',191126,Solvalla,Jessika Sidbäck,3,2640,5,"14,6a","2,62",60',191106,Solvalla,Ulf Ohlsson,1,3140,7,"15,5a","3,44",60',191012,Åby,Jenny A Björk,2,2140,1,"13,6a","14,32",125'
2020-04-18,UMÅKER,6,COUNTERFEIGHTR,v,8,Ulf Ohlsson,5,"32,38","3,88 - 8,05",4,AUTOSTART,2140M,2140,"1.12,8",12 514,200323,Halmstad,Henriette Larsen,0,1640,7,"13,5a","11,06",35',200301,Mantorp,Rikard N Skoglund,0,2140,9,"15,5a","4,96",35',200220,Åby,Rikard N Skoglund,2,1640,1,"13,4a","3,42",35',200210,Halmstad,Marcus Lindgren,4,1640,5,"14,0a","7,00",35',191122,Halmstad,Ville Karhulahti,5,2140,10,"14,3ag","15,26",25'
2020-04-18,UMÅKER,6,VINCENT HORSE,v,6,Jan Norberg,4,"19,76","3,34 - 6,87",5,AUTOSTART,2140M,2140,"1.12,9",12 222,200409,Gävle,Per Lennartsson,0,3180,4,ug,"11,16",100',200327,Bergsåker,Caroline Åkerlund,7,2640,8,"15,4a","17,82",30',191204,Bergsåker,Kenth Åkerlund,d,2140,1,uag,"5,81",70',191102,Solvalla,Robert Bergh,2,2140,1,"13,3a","79,27",250',191015,Axevalla,Peter Ingves,4,1640,6,"12,0a","18,02",125'
2020-04-18,UMÅKER,6,HUNKYDORY DEGATO,s,7,Rikard N Skoglund,2,"14,86","1,93 - 3,61",6,AUTOSTART,2140M,2140,"1.12,9",16 825,200409,Gävle,Rikard N Skoglund,2,2660,3,"14,7","50,58",150',200324,Bollnäs,Daniel Wäjersten,3,2660,5,"15,6","30,01",35',200309,Bollnäs,Ulf Ohlsson,2,2160,1,"15,5","4,30",25',200111,Bergsåker,Per Linderoth,d,2160,6,12g,"38,13",110',200101,Bergsåker,Per Linderoth,3,2140,5,"14,6a","16,82",60'
2020-04-18,UMÅKER,6,KÖVRAS SO FAR,v,6,Per Lennartsson,1,"20,66","2,45 - 4,80",7,AUTOSTART,2140M,2140,"1.13,0",16 161,200411,Dannero,Robert Bergh,7,1640,2,"13,8a","3,18",75',200329,Östersund,Robert Bergh,5,2140,1,"15,0a","12,72",35',200307,Cagnes sur Mer,Robert Bergh,4,1609,,"11,4a",-,,191120,Bergsåker,Nicklas Westerholm,5,2640,2,"15,0a","9,37",70',191111,Gävle,Robert Bergh,4,2640,4,"16,2a","4,22",25'
