,datum,bana,avd,häst,kön,ålder,kusk,spår,vodds,podds,plac,start,lopp_dist,dist,tid,kr,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_kmtid,h1_odds,h1_pris,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_kmtid,h2_odds,h2_pris,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_kmtid,h3_odds,h3_pris,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_kmtid,h4_odds,h4_pris,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_kmtid,h5_odds,h5_pris
87,2020-03-28,SOLVALLA,1,ROCKY TILLY,v,6,Rikard N Skoglund,8,"38,82","6,15 - 9,66",0,AUTOSTART,2140M,2140,"1.13,1",20 685,200321,Bergsåker,Jörgen Westholm,0,2140,6,"15,5g","8,35",75',200307,Färjestad,Rikard N Skoglund,0,2140,11,"13,6a","9,59",110',200222,Axevalla,Rikard N Skoglund,d,2140,1,ug,"5,01",110',200208,Solvalla,Ulf Ohlsson,6,2140,6,"12,8a","36,27",220',200125,Eskilstuna,Rikard N Skoglund,5,2640,5,"15,5a","6,61",110'
88,2020-03-28,SOLVALLA,1,THRILLER N.P.,v,8,Carl Johan Jepson,7,"4,21","1,73 - 2,27",d,AUTOSTART,2140M,2140,12g,16 896,200215,Mantorp,Carl Johan Jepson,1,2140,7,"14,3a","10,04",110',200201,Åby,Carl Johan Jepson,0,2140,4,"16,1g","6,24",150',191023,Åby,Carl Johan Jepson,1,3140,9,"14,6a","3,21",70',190925,Åby,Carl Johan Jepson,1,2680,6,"13,8","7,54",70',190818,Tingsryd,Carl Johan Jepson,1,3218,4,"15,4a","1,85",60'
89,2020-03-28,SOLVALLA,2,IMAGE RAPIDA,h,5,Björn Goop,6,"17,29","3,25",1,AUTOSTART,2140M,2140,"1.12,8",11 616,200314,Halmstad,Kim Eriksson,5,2140,2,"13,9a","29,26",110',200222,Axevalla,Stefan Persson,3,2640,6,"15,9a","9,65",110',200202,Kalmar,Stefan Persson,1,2140,6,"14,3a","1,73",35',200118,Kalmar,Thomas Uhrberg,7,2140,11,"13,4a","32,26",110',200110,Kalmar,Stefan Persson,1,2640,5,"16,6a","2,36",25'
90,2020-03-28,SOLVALLA,2,PERSONAL GOALS,v,7,Peter Ingves,2,"16,44","3,08",2,AUTOSTART,2140M,2140,"1.12,9",8 540,200307,Färjestad,Per Oleg Midtfjeld,1,2140,1,"13,8","11,95",110',200219,Solvalla,Carl Johan Jepson,d,2140,1,11g,"2,01",40',200201,Åby,Peter Ingves,1,2160,2,"14,8","14,71",35',191231,Axevalla,Carl Johan Jepson,4,2160,5,"16,5","16,61",30',191101,Färjestad,Magnus Jakobsson,0,2640,4,u,"14,81",30'
91,2020-03-28,SOLVALLA,2,STRONG HEARTBEAT,h,4,Jörgen Westholm,3,"1,93","1,46",3,AUTOSTART,2140M,2140,"1.12,9",57 214,200229,Bergsåker,Jörgen Westholm,1,2140,1,"14,0a","2,41",110',200201,Åby,Jörgen Westholm,1,2140,5,"15,1","4,90",150',190917,Solvalla,Jörgen Westholm,0,2640,11,"15,0a","18,86",150',190726,Lindesberg,Jörgen Westholm,1,2140,4,"16,0a","1,25",50',190604,Solvalla,Jörgen Westholm,1,2140,6,"14,8a","1,67",40'
92,2020-03-28,SOLVALLA,2,BETTING REBEL,v,6,Ulf Ohlsson,1,"8,46","1,77 - 2,69",4,AUTOSTART,2140M,2140,"1.13,1",11 323,200320,Solvalla,Ulf Ohlsson,1,1640,1,"11,9a","3,20",40',200307,Färjestad,Ulf Ohlsson,2,2140,3,"13,9","6,29",110',200228,Eskilstuna,Ulf Ohlsson,1,2140,6,"15,7a","3,76",25',200223,Solvalla,Ulf Ohlsson,5,1640,12,"12,9a","15,52",40',200214,Solvalla,Lukas Svedin,0,2640,10,"15,4a","31,14",40'
93,2020-03-28,SOLVALLA,2,LEONAS SAMI,v,7,Kim Eriksson,9,"20,43","3,30 - 5,66",5,AUTOSTART,2140M,2140,"1.13,2",14 980,200316,Mantorp,Kim Eriksson,3,2140,9,"14,3a","2,08",35',200222,Axevalla,Kim Eriksson,1,2640,5,"15,5a","13,40",110',200129,Solvalla,Carl Johan Jepson,1,2640,7,"15,3a","3,47",40',200117,Eskilstuna,Kim Eriksson,1,2140,10,"14,1a","4,12",25',191223,Mantorp,Oskar Svanberg,2,2160,5,"14,7","56,00",100'
94,2020-03-28,SOLVALLA,2,SOLKATTENS CHIRON,v,5,Rikard N Skoglund,4,"15,91","2,66 - 4,46",6,AUTOSTART,2140M,2140,"1.13,2",14 617,200314,Halmstad,Rikard N Skoglund,2,2140,8,"13,8a","29,57",110',200306,Solvalla,Rikard N Skoglund,1,2640,5,"15,6a","4,02",40',200226,Åby,Kim Eriksson,6,2640,9,"15,3a","6,94",40',200127,Mantorp,Rikard N Skoglund,1,2140,8,"15,7a","3,20",25',200112,Örebro,Carl Johan Jepson,2,2660,1,"17,0","1,93",35'
95,2020-03-28,SOLVALLA,2,ROOFPARTY,v,6,Kevin Oscarsson,12,"51,97","4,99 - 8,80",7,AUTOSTART,2140M,2140,"1.13,3",22 523,200314,Halmstad,Kevin Oscarsson,3,2140,3,"13,8a","16,53",110',191221,Halmstad,Kevin Oscarsson,d,2140,6,2g,"2,48",125',191125,Mantorp,Kevin Oscarsson,1,2140,8,"15,2a","2,14",25',191031,Åby,Kevin Oscarsson,1,2660,7,"15,3","2,32",35',191019,Kalmar,Kevin Oscarsson,1,2160,1,"14,1","1,36",25'
96,2020-03-28,SOLVALLA,2,INEZ ALKI,s,5,Hans Crebas,11,"38,22","4,33 - 7,62",0,AUTOSTART,2140M,2140,"1.13,4",24 149,200222,Axevalla,Hans Crebas,2,2640,8,"15,6a","13,85",110',200205,Jägersro,Hans Crebas,1,2140,10,"14,3a","4,43",60',200120,Färjestad,Hans Crebas,1,1640,4,"13,8a","1,79",35',191231,Axevalla,Hans Crebas,6,2660,11,"16,0","7,80",100',191223,Mantorp,Hans Crebas,1,2140,3,"15,0","2,88",100'
