datum,bana,avd,startnr,häst,ålder,kön,kusk,lopp_dist,start,dist,pris,spår,streck,vodds,podds,kr,plac,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_odds,h1_pris,h1_kmtid,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_odds,h2_pris,h2_kmtid,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_odds,h3_pris,h3_kmtid,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_odds,h4_pris,h4_kmtid,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_odds,h5_pris,h5_kmtid,bins,h1_auto,h2_auto,h3_auto,h4_auto,h5_auto,h1_perf,h2_perf,h3_perf,h4_perf,h5_perf,senast,delta1,delta2,delta3,delta4
2023-01-14,kalmar,2,10,guiding light,7,v,christoffer eriksson,2140.0,1,2140.0,110000.0,10.0,0.0,70.94,12.45,8389.0,8,2023-01-03,kalmar-4,stefan persson,2.0,2140.0,5.0,3.32,25.0,15.1,2022-12-11,kalmar-9,christoffer eriksson,1.0,2160.0,5.0,22.66,35.0,16.1,2022-12-02,kalmar-2,christoffer eriksson,15.0,2640.0,5.0,22.77,30.0,16.5,2022-11-03,kalmar-7,dan ottosson,15.0,2640.0,5.0,36.11,25.0,16.1,2022-10-25,visby-3,micael stjernström,15.0,2120.0,5.0,25.25,25.0,16.0,28,1,0,1,1,0,3325.708165221809,6487.769258055282,5.477225575051661,5.0,5.0,11.0,23.0,9.0,29.0,9.0
2023-01-14,kalmar,2,11,got to goo,6,v,hannu torvinen,2140.0,1,2140.0,110000.0,11.0,1.0,30.72,5.52,4951.0,6,2023-01-07,pori-5,kari venäläinen,1.0,1609.0,,4.8,,15.0,2022-12-28,vermo-9,kari venäläinen,2.0,2120.0,,43.8,,14.1,2022-12-16,solvalla-2,jorma kontio,3.0,2140.0,,9.88,40.0,15.0,2022-12-03,vermo-1,janita antti-roiko,3.0,2120.0,,5.3,,16.0,2022-11-28,tammerfors-5,kari venäläinen,3.0,2100.0,,21.2,,16.5,21,1,1,1,1,1,,,2551.5077222615173,,,7.0,10.0,12.0,13.0,5.0
2023-01-14,kalmar,2,12,rapid pal,4,v,joakim lövgren,2140.0,1,2140.0,110000.0,12.0,30.0,2.76,1.41,24028.0,15,2022-12-14,jägersro-2,joakim lövgren,1.0,2160.0,2.0,2.4,50.0,15.1,2022-11-29,jägersro-10,joakim lövgren,1.0,2140.0,2.0,2.29,50.0,14.8,2022-11-03,kalmar-2,joakim lövgren,1.0,2140.0,2.0,2.54,25.0,15.0,2022-10-22,jägersro-12,joakim lövgren,1.0,2140.0,2.0,3.32,35.0,15.7,2022-10-12,jägersro-7,joakim lövgren,1.0,2140.0,2.0,4.52,50.0,15.9,1,0,1,1,0,0,7754.367427987846,7754.367427987846,5483.165792142293,6487.769258055282,7754.367427987846,31.0,15.0,26.0,12.0,10.0
2023-01-14,kalmar,3,1,heart of steel,9,v,peter untersteiner,2140.0,0,2140.0,150000.0,1.0,35.0,2.43,1.31,54916.0,20,2022-12-23,halmstad-8,peter untersteiner,5.0,1640.0,8.0,4.33,150.0,12.6,2022-12-02,kalmar-7,peter untersteiner,1.0,1640.0,8.0,1.55,40.0,12.3,2022-11-18,wolvega-3,peter untersteiner,15.0,2100.0,8.0,5.38,,13.4,2022-10-18,axevalla-9,peter untersteiner,15.0,1640.0,8.0,6.04,100.0,11.7,2022-10-03,hamburg-bahrenfeld-7,jörgen sjunnesson,15.0,1680.0,8.0,2.2,,11.9,1,1,1,1,1,1,1817.6825545790462,6935.717076596412,,10.0,,22.0,21.0,14.0,31.0,15.0
2023-01-14,kalmar,3,2,super nice,10,h,martin malmqvist,2140.0,0,2140.0,150000.0,2.0,0.0,128.16,14.67,41270.0,5,2022-11-12,eskilstuna-9,torbjörn jansson,15.0,2140.0,5.0,107.8,150.0,13.4,2022-11-05,visby-6,martin malmqvist,2.0,1620.0,5.0,3.1,30.0,12.8,2022-10-11,visby-4,martin malmqvist,5.0,1620.0,5.0,2.8,25.0,12.7,2022-09-22,visby-4,martin malmqvist,5.0,2120.0,5.0,1.67,30.0,13.4,2022-07-23,axevalla-11,martin malmqvist,5.0,2640.0,5.0,88.72,150.0,13.3,29,1,1,1,1,1,12.24744871391589,3643.130763542206,742.065795512883,812.8923507108439,1817.6825545790462,63.0,7.0,25.0,19.0,61.0
2023-01-14,kalmar,3,3,ingo,8,v,christoffer eriksson,2140.0,0,2140.0,150000.0,3.0,10.0,8.97,2.5,47924.0,6,2022-11-14,frankrike-4,alexandre abrivard,4.0,2675.0,,9.2,,14.8,2022-11-07,vincennes-7,alexandre abrivard,4.0,2100.0,,4.9,,12.1,2022-10-14,frankrike-8,franck ouvrie,1.0,2875.0,,1.9,,13.5,2022-10-07,vincennes-3,alexandre abrivard,1.0,2700.0,,7.5,,13.3,2022-09-22,vincennes-1,alexandre abrivard,1.0,2700.0,,5.5,,13.9,10,0,1,0,0,0,,,,,,61.0,7.0,24.0,7.0,15.0
2023-01-14,kalmar,3,4,arn hammering,13,h,thomas jonsson,2140.0,0,2140.0,150000.0,4.0,0.0,161.47,28.56,12915.0,15,2022-12-02,kalmar-7,micael stjernström,15.0,1640.0,3.0,81.32,40.0,13.7,2022-11-11,kalmar-7,micael stjernström,6.0,2160.0,3.0,111.48,35.0,13.8,2022-11-05,visby-6,micael stjernström,4.0,1620.0,3.0,18.24,30.0,13.0,2022-10-11,visby-4,micael stjernström,4.0,1620.0,3.0,13.3,25.0,12.0,2022-10-04,kalmar-5,thomas jonsson,4.0,3180.0,3.0,82.87,60.0,14.9,29,1,0,1,1,0,6.324555320336759,532.5485306196407,1340.2329094063966,1223.459661321102,1895.3755572212776,43.0,21.0,6.0,25.0,7.0
2023-01-14,kalmar,3,5,fossa,6,v,flemming jensen,2140.0,0,2140.0,150000.0,5.0,2.0,35.82,5.28,63285.0,15,2022-12-11,skive-6,flemming jensen,2.0,2060.0,,3.68,,14.7,2022-11-06,charlottenlund-8,flemming jensen,4.0,2000.0,,3.76,,14.6,2022-10-14,århus-5,knud mönster,1.0,1800.0,,1.95,,14.3,2022-10-09,charlottenlund-8,michelle mönster,1.0,2000.0,,1.59,,13.0,2022-09-17,ålborg-3,mads henriksen,1.0,2140.0,,20.35,,14.3,23,1,1,1,1,1,,,,,,34.0,35.0,23.0,5.0,22.0
2023-01-14,kalmar,3,6,pastor power,9,v,stefan persson,2140.0,0,2140.0,150000.0,6.0,0.0,90.27,10.71,38030.0,20,2023-01-04,jägersro-9,stefan persson,6.0,2140.0,12.0,30.53,60.0,14.2,2022-12-02,kalmar-7,victor rosleff,20.0,1640.0,12.0,56.55,40.0,30.0,2022-11-11,kalmar-13,victor rosleff,15.0,2140.0,12.0,,,17.1,2021-10-05,färjestad-4,victor rosleff,15.0,1640.0,12.0,18.93,60.0,10.7,2021-09-15,åby-6,victor rosleff,15.0,2640.0,12.0,53.58,60.0,13.6,29,1,1,0,1,1,697.2697008005748,0.5191511147666147,,7.745966692414834,7.745966692414834,10.0,33.0,21.0,402.0,20.0
2023-01-14,kalmar,3,7,aetos kronos,7,h,örjan kihlström,2140.0,0,2140.0,150000.0,7.0,22.0,4.29,1.73,259959.0,3,2022-12-23,halmstad-8,gustav johansson,2.0,1640.0,4.0,2.68,150.0,12.3,2022-12-10,åby-7,johan untersteiner,7.0,2140.0,4.0,4.82,200.0,13.5,2022-11-25,solvalla-7,johan untersteiner,15.0,1640.0,4.0,3.73,100.0,15.5,2022-11-11,kalmar-7,johan untersteiner,15.0,2160.0,4.0,1.41,35.0,13.4,2022-11-01,halmstad-13,johan untersteiner,15.0,2140.0,4.0,,,15.5,4,1,1,1,0,0,8146.288038201084,772.1344425735364,10.0,5.916079783099616,,22.0,13.0,15.0,14.0,10.0
