datum,bana,avd,häst,ålder,kön,kusk,lopp_dist,start,dist,pris,spår,streck,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_odds,h1_pris,h1_kmtid,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_odds,h2_pris,h2_kmtid,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_odds,h3_pris,h3_kmtid,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_odds,h4_pris,h4_kmtid,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_odds,h5_pris,h5_kmtid,h1_auto,h2_auto,h3_auto,h4_auto,h5_auto,h1_perf,h2_perf,h3_perf,h4_perf,h5_perf,senast,delta1,delta2,delta3,delta4,rel_kr,streck_avst,rel_rank,h1_samma_bana,h2_samma_bana,h3_samma_bana,h1_samma_kusk,h2_samma_kusk,h3_samma_kusk,probat1,probat2,probat3,probat4
2022-10-01,skellefteå,2,barolo gene,4,h,roger nilsson,1640.0,0,1640.0,110000.0,9.0,10.0,skellefteå,roger nilsson,2.0,2140.0,11.0,2.94,22.0,15.5,skellefteå,roger nilsson,2.0,2160.0,11.0,2.13,25.0,16.6,skellefteå,roger nilsson,1.0,2160.0,11.0,1.58,22.0,16.5,lycksele,roger nilsson,1.0,2140.0,11.0,2.2,25.0,14.3,skellefteå,roger nilsson,1.0,2140.0,11.0,10.54,50.0,14.9,1,0,0,1,1,3119.790798145967,3325.708165221809,5143.665449037786,5483.165792142293,7754.367427987846,19.0,14.0,32.0,20.0,13.0,0.13194425816143138,11.0,0.45454545454545453,True,True,True,True,True,True,0.06736901131423663,0.05311866298541254,0.0662083724245189,0.08692163388509802
2022-10-01,skellefteå,2,önas quickstep,4,v,ove a lindqvist,1640.0,0,1640.0,110000.0,10.0,1.0,boden,ove a lindqvist,1.0,2640.0,7.0,3.85,25.0,16.3,skellefteå,jan norberg,3.0,2140.0,7.0,5.14,22.0,14.9,skellefteå,roger nilsson,15.0,1640.0,7.0,75.15,75.0,18.4,boden,örjan kihlström,15.0,2140.0,7.0,7.77,50.0,17.6,skellefteå,jan norberg,15.0,2640.0,7.0,1.44,22.0,17.1,1,1,1,1,1,5483.165792142293,1892.2487709648767,8.660254037844387,7.071067811865476,4.69041575982343,29.0,18.0,51.0,7.0,33.0,0.06572064701306365,20.0,0.9090909090909091,False,True,True,True,False,False,0.020335288382790865,0.024584038078081953,0.04532561491683718,0.0202373068444174
2022-10-01,skellefteå,2,cheval mon ami,5,v,oskar j andersson,1640.0,0,1640.0,110000.0,11.0,3.0,hagmyren,per lennartsson,6.0,2640.0,3.0,67.11,110.0,15.3,åby,oskar j andersson,15.0,2140.0,3.0,47.12,220.0,14.5,rättvik,claes sjöström,15.0,1640.0,3.0,59.28,110.0,13.1,årjäng,oskar j andersson,15.0,2140.0,3.0,26.42,110.0,14.4,rättvik,oskar j andersson,15.0,2140.0,3.0,3.56,22.0,15.7,1,1,1,0,1,944.107637948816,14.832396974191326,10.488088481701515,10.488088481701515,4.69041575982343,21.0,28.0,7.0,21.0,12.0,0.09242468950347381,18.0,0.7272727272727273,False,False,False,False,True,False,0.021501031418222415,0.0263148948080158,0.025697091337544962,0.02529876944784165
2022-10-01,skellefteå,3,stjärnblomster,8,s,mats e djuse,1640.0,0,1640.0,150000.0,1.0,41.0,hagmyren,örjan kihlström,1.0,2140.0,1.0,1.05,250.0,24.5,bergsåker,mats e djuse,3.0,2640.0,1.0,3.65,250.0,24.6,bollnäs,mats e djuse,1.0,2200.0,1.0,1.3,100.0,22.2,dannero,mats e djuse,1.0,2220.0,1.0,3.37,150.0,22.8,bollnäs,mats e djuse,1.0,1680.0,1.0,2.13,100.0,21.8,1,1,0,0,0,17339.292691491028,6378.769305653794,10966.331584284586,13430.958365832146,10966.331584284586,21.0,14.0,8.0,12.0,8.0,0.16260108067821874,0.0,0.1,False,False,False,False,True,True,0.30045885109751325,0.31689384849015184,0.17536184528650983,0.2892159316750513
2022-10-01,skellefteå,3,gorm,6,h,ulf ohlsson,1640.0,0,1640.0,150000.0,2.0,11.0,bergsåker,ulf ohlsson,1.0,1640.0,7.0,1.97,60.0,22.1,bollnäs,ulf ohlsson,1.0,1640.0,7.0,3.23,50.0,20.9,solvalla,ulf ohlsson,3.0,2140.0,7.0,20.45,100.0,23.7,bergsåker,ulf ohlsson,3.0,2160.0,7.0,5.76,200.0,24.2,bollnäs,ulf ohlsson,3.0,2140.0,7.0,1.3,30.0,25.6,1,1,1,0,0,8494.48391898452,7754.367427987846,4034.287934927351,5705.344712092407,2209.670505430644,17.0,26.0,37.0,221.0,10.0,0.09801875659896901,30.0,0.3,False,False,False,True,True,True,0.0912857682020831,0.07854533384284301,0.12798317363605285,0.09059269037143962
2022-10-01,skellefteå,3,pydin,10,h,tomas pettersson,1640.0,0,1640.0,150000.0,3.0,6.0,gävle,tomas pettersson,1.0,1640.0,11.0,10.22,40.0,21.0,bergsåker,tomas pettersson,7.0,2640.0,11.0,80.94,250.0,24.8,hagmyren,rikard n skoglund,4.0,2140.0,11.0,12.24,22.0,25.0,bollnäs,ulf eriksson,4.0,1640.0,11.0,34.78,150.0,22.6,hagmyren,tomas pettersson,4.0,1640.0,11.0,61.41,150.0,20.9,1,1,0,1,1,6935.717076596412,863.2725506816674,1147.7068953937464,2996.85189111502,2996.85189111502,23.0,12.0,13.0,29.0,13.0,0.06902676852369417,35.0,0.4,False,False,False,True,True,False,0.05276841099226249,0.04989299053507826,0.062234759635293124,0.053233958257965744
2022-10-01,skellefteå,3,våler nikolai,7,h,robert bergh,1640.0,0,1640.0,150000.0,4.0,0.0,bergsåker,tom erik solberg,4.0,2680.0,1.0,47.35,100.0,23.6,gävle,ulf ohlsson,4.0,1640.0,1.0,11.82,40.0,22.4,skellefteå,magnus a djuse,6.0,2180.0,1.0,4.42,50.0,24.2,hagmyren,ulf ohlsson,6.0,1640.0,1.0,22.45,150.0,23.4,dannero,ulf ohlsson,6.0,2140.0,1.0,11.15,50.0,23.4,0,1,0,1,1,2446.919322642204,1547.5676620451568,636.517239655588,1102.4801989769735,636.517239655588,8.0,15.0,51.0,16.0,10.0,0.11142165082914104,41.0,0.7,False,False,True,False,False,False,0.02153702484530123,0.02744805130561636,0.04011244572475489,0.02002067749350246
2022-10-01,skellefteå,3,philip ess,8,h,daniel wäjersten,1640.0,0,1640.0,150000.0,5.0,3.0,bergsåker,filip lindholm,15.0,2680.0,4.0,28.31,100.0,24.0,färjestad,dwight pieters,3.0,2140.0,4.0,85.01,300.0,21.6,gävle,filip lindholm,3.0,1640.0,4.0,1.86,40.0,22.3,umåker,filip lindholm,3.0,2160.0,4.0,1.81,25.0,25.0,hagmyren,filip lindholm,3.0,2140.0,4.0,3.11,22.0,25.0,0,1,1,0,0,10.0,6987.5916756562965,2551.5077222615173,2017.143967463676,1892.2487709648767,8.0,6.0,9.0,19.0,6.0,0.08806657971554561,38.0,0.5,False,False,False,False,False,False,0.023378352336482066,0.025958709096792647,0.0456527067190031,0.024275254314689583
2022-10-01,skellefteå,3,grisle odin g.l.,6,h,öystein tjomsland,1640.0,0,1640.0,150000.0,6.0,36.0,bergsåker,öystein tjomsland,1.0,2680.0,6.0,1.4,100.0,22.0,färjestad,öystein tjomsland,7.0,2140.0,6.0,5.51,300.0,22.2,forus,öystein tjomsland,2.0,2040.0,6.0,4.0,,21.3,solvalla,öystein tjomsland,2.0,2160.0,6.0,1.69,200.0,21.4,sörlandet,öystein tjomsland,2.0,2609.0,6.0,6.7,,24.0,0,1,1,0,1,10966.331584284586,945.667698566742,,9406.523183503248,,8.0,6.0,14.0,17.0,25.0,0.2865238183963729,5.0,0.2,False,False,False,True,True,True,0.2547609939045064,0.21088792018328623,0.12629746567976968,0.25014514219526995
2022-10-01,skellefteå,3,myr faksen,13,h,krister söderholm,1640.0,0,1640.0,150000.0,9.0,0.0,harstad,ove a lindqvist,20.0,2080.0,,8.5,,30.0,norge,hans christian holm,20.0,1609.0,,1.4,,30.0,harstad,silje kristin eilertsen,3.0,1660.0,,3.1,,23.4,norge,patrick larsen,3.0,1640.0,,3.9,,23.0,harstad,hans christian holm,3.0,1620.0,,2.86,,23.6,0,1,0,0,0,,,,,,63.0,14.0,14.0,14.0,14.0,0.05726352400472021,41.0,0.7,False,False,False,False,False,False,0.02881092295241945,0.033947033327730504,0.08106752620479908,0.027805288825868555
