datum,bana,avd,startnr,häst,ålder,kön,kusk,lopp_dist,start,dist,pris,spår,streck,vodds,podds,kr,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_odds,h1_pris,h1_kmtid,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_odds,h2_pris,h2_kmtid,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_odds,h3_pris,h3_kmtid,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_odds,h4_pris,h4_kmtid,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_odds,h5_pris,h5_kmtid,bins,h1_auto,h2_auto,h3_auto,h4_auto,h5_auto,h1_perf,h2_perf,h3_perf,h4_perf,h5_perf,senast,delta1,delta2,delta3,delta4,proba,f,spela,insats,prob_order,poäng
2021-10-09,ÅBY,2,11,MISS IRMA,3,s,Björn Goop,2140.0,0,2140.0,2.0,11.0,2.0,23.79,4.2,72928.0,2021-09-01,Åby-6,Carl Johan Jepson,1.0,2140.0,6.0,2.53,100.0,15.2,2021-08-18,Solvalla-6,Björn Goop,20.0,1640.0,6.0,12.99,150.0,30.0,2021-07-23,Axevalla-10,Carl Johan Jepson,6.0,2140.0,6.0,9.13,100.0,14.8,2021-07-15,Örebro-6,Björn Goop,6.0,2609.0,6.0,6.13,125.0,15.2,2021-06-30,Solvalla-8,Björn Goop,6.0,2140.0,6.0,6.26,300.0,14.4,19,1,1,1,1,1,10966.331584284586,1.005331810828057,900.1713130052182,1006.422123637454,1559.1424496410248,38.0,14.0,26.0,8.0,15.0,0.02185175645592038,-0.02106830688519764,False,-0.0,9,15
2021-10-09,ÅBY,2,12,IDOMENIO SISU,3,h,Mika Forss,2140.0,0,2140.0,1.0,12.0,1.0,33.83,6.36,45000.0,2021-09-29,Solvalla-5,Ulf Ohlsson,2.0,2640.0,4.0,2.34,100.0,14.7,2021-09-10,Solvalla-6,Ulf Ohlsson,4.0,2640.0,4.0,12.12,150.0,14.0,2021-07-22,Bergsåker-5,Ulf Ohlsson,5.0,2140.0,4.0,1.64,200.0,13.9,2021-07-03,Färjestad-11,Ulf Ohlsson,5.0,2140.0,4.0,6.77,975.0,12.2,2021-06-20,Eskilstuna-4,Ulf Ohlsson,5.0,2140.0,4.0,4.22,100.0,11.9,22,1,1,1,1,1,6651.416330443618,2996.85189111502,2098.879024374998,4634.199407657869,1484.131591025766,10.0,19.0,50.0,19.0,13.0,0.015535693821260466,-0.014451034968832118,False,-0.0,10,15
2021-10-09,ÅBY,2,1,MARENGO N.O.,3,h,Anders Lundström Wolden,2140.0,0,2140.0,0.0,1.0,0.0,49.82,9.01,33670.0,2021-09-12,Bjerke-6,Anders Lundström Wolden,3.0,2100.0,,63.2,,14.6,2021-08-26,Bjerke-4,Anders Lundström Wolden,3.0,2100.0,,41.7,,14.8,2021-08-10,Bjerke-2,Anders Lundström Wolden,8.0,2100.0,,11.0,,15.7,2021-07-19,Biri-3,Erlend Rennesvik,8.0,2100.0,,16.2,,30.0,2021-06-26,Leangen-6,Erlend Rennesvik,8.0,2140.0,,27.1,,17.1,25,1,1,1,1,1,,,,,,27.0,17.0,16.0,22.0,23.0,0.015109443286471017,-0.005064472254568085,False,-0.0,11,15
2021-10-09,ÅBY,3,3,MINDYOURVALUE W.F.,8,v,Eric Raffin,2140.0,0,2140.0,63.0,3.0,63.0,1.77,1.18,94249.0,2021-10-02,Skellefteå-2,Robert Bergh,2.0,1640.0,3.0,1.58,100.0,11.6,2021-08-28,Bergsåker-11,Robert Bergh,7.0,2140.0,3.0,65.43,1000.0,11.7,2021-08-14,Åby-11,Rikard N Skoglund,3.0,3140.0,3.0,63.8,1500.0,12.1,2021-07-28,Boden-9,Robert Bergh,3.0,2140.0,3.0,3.52,100.0,12.8,2021-07-22,Bergsåker-9,Nicklas Westerholm,3.0,2640.0,3.0,7.11,100.0,14.5,0,1,1,1,1,1,6651.416330443618,1726.5451013633349,15624.729985779142,4034.287934927351,4034.287934927351,7.0,35.0,14.0,17.0,6.0,0.535125343310824,-0.0686079770647293,False,-0.0,1,1
2021-10-09,ÅBY,3,5,POLYCRATES FACE,9,v,Emilia Leo,2140.0,0,2140.0,12.0,5.0,12.0,6.43,1.67,16088.0,2021-09-04,Jägersro-1,Emilia Leo,1.0,2140.0,2.0,1.83,50.0,13.5,2021-02-27,Romme-1,Emilia Leo,1.0,2160.0,2.0,1.55,30.0,14.4,2021-01-22,Romme-5,Emilia Leo,1.0,2140.0,2.0,1.43,30.0,15.7,2020-12-28,Romme-1,Emilia Leo,1.0,2160.0,2.0,2.78,30.0,15.8,2020-05-09,Åby-1,Emilia Leo,1.0,2640.0,2.0,1.95,50.0,15.5,7,1,0,0,0,1,7754.367427987846,6006.507181794034,6006.507181794034,6006.507181794034,7754.367427987846,35.0,189.0,36.0,25.0,233.0,0.11326304627651768,-0.050040260118230456,False,-0.0,2,3
2021-10-09,ÅBY,3,2,RAJESH FACE,8,v,Sofia Adolfsson,2140.0,0,2140.0,10.0,2.0,10.0,10.03,2.28,47152.0,2021-09-20,Halmstad-9,Adrian Kolgjini,4.0,2140.0,1.0,20.07,125.0,11.8,2021-09-04,Jägersro-4,Adrian Kolgjini,5.0,1640.0,1.0,22.25,150.0,11.5,2020-11-21,Jägersro-10,Adrian Kolgjini,15.0,2140.0,1.0,7.1,150.0,16.9,2020-10-24,Örebro-11,Adrian Kolgjini,15.0,2100.0,1.0,27.94,150.0,13.0,2020-10-10,Åby-7,Sofia Adolfsson,15.0,2140.0,1.0,1.95,250.0,12.3,11,1,1,1,1,1,2735.738970442854,1817.6825545790464,12.24744871391589,12.24744871391589,15.811388300841896,19.0,16.0,287.0,28.0,14.0,0.08743466164231109,-0.013624622782682148,False,-0.0,3,4
2021-10-09,ÅBY,3,4,UNCLE TÖLL,5,v,Tova Bengtsson,2140.0,0,2140.0,6.0,4.0,6.0,8.33,2.04,35180.0,2021-09-26,Solvalla-1,Tova Bengtsson,1.0,2140.0,5.0,2.43,100.0,12.9,2021-09-04,Jägersro-5,André Eklundh,3.0,2140.0,5.0,12.82,110.0,13.8,2021-08-25,Åby-6,Stefan Persson,3.0,1640.0,5.0,16.71,60.0,11.5,2021-08-16,Färjestad-8,André Eklundh,3.0,1640.0,5.0,7.88,35.0,12.1,2021-07-24,Axevalla-8,André Eklundh,3.0,3180.0,5.0,11.48,100.0,15.0,9,1,0,1,1,0,10966.331584284586,4231.196882217894,3124.9459971558285,2386.7169291026403,4034.287934927351,13.0,22.0,10.0,9.0,23.0,0.07102822351987256,-0.055707353080417674,False,-0.0,4,15
2021-10-09,ÅBY,3,1,HECTOR BOKO,7,v,Jonathan Carre,2140.0,0,2140.0,4.0,1.0,4.0,11.81,2.63,14450.0,2021-09-28,Eskilstuna-6,Sybille Tinter,1.0,1640.0,2.0,4.29,30.0,11.0,2021-09-04,Berlin-5,Jonathan Carre,2.0,1900.0,2.0,3.5,,13.2,2021-08-16,Färjestad-7,Jonathan Carre,1.0,2140.0,2.0,1.27,60.0,15.3,2021-07-30,Solvalla-3,Jonathan Carre,1.0,2140.0,2.0,1.66,40.0,14.4,2021-07-12,Rättvik-8,Tomas Pettersson,1.0,1640.0,2.0,11.15,30.0,30.0,12,1,1,1,1,1,6006.507181794034,,8494.48391898452,6935.717076596412,6006.507181794034,11.0,24.0,19.0,17.0,18.0,0.05216289792560396,-0.03551861012938179,False,-0.0,5,15
2021-10-09,ÅBY,3,7,GLOBAL UNDECIDED,7,v,Jennifer Persson,2140.0,0,2140.0,2.0,7.0,2.0,20.5,3.85,34838.0,2021-09-29,Solvalla-2,Carl Johan Jepson,2.0,2180.0,4.0,1.88,60.0,12.4,2021-09-08,Solvalla-7,Carl Johan Jepson,1.0,2640.0,4.0,2.49,60.0,14.1,2021-08-30,Axevalla-8,Carl Johan Jepson,2.0,2140.0,4.0,8.94,60.0,13.2,2021-08-18,Solvalla-1,Sofia Adolfsson,2.0,2140.0,4.0,7.98,100.0,30.0,2021-08-11,Solvalla-3,Claes Sjöström,2.0,2160.0,4.0,5.6,60.0,13.8,18,0,1,1,1,0,5152.164935300037,8494.48391898452,5152.164935300037,6651.416330443618,5152.164935300037,10.0,21.0,9.0,12.0,7.0,0.02161951433887817,-0.028553843900153718,False,-0.0,6,15
2021-10-09,ÅBY,3,10,STAR ADVISOR JOLI,12,v,Iina Aho,2140.0,0,2140.0,1.0,10.0,1.0,41.7,6.6,27968.0,2021-09-04,Jägersro-1,Iina Aho,2.0,2140.0,5.0,2.84,50.0,13.7,2021-08-14,Åby-4,Iina Aho,3.0,1640.0,5.0,6.22,125.0,11.6,2021-07-13,Jägersro-8,Stefan Persson,3.0,1609.0,5.0,37.22,75.0,11.0,2021-06-25,Årjäng-7,Paw Mahony,3.0,1640.0,5.0,19.26,30.0,11.6,2021-05-25,Axevalla-6,André Eklundh,3.0,2140.0,5.0,25.27,35.0,15.0,24,1,1,1,1,1,4703.261591751624,4510.471031652402,3493.7958378281483,2209.670505430644,2386.7169291026403,35.0,21.0,32.0,18.0,31.0,0.015535693821260466,-0.008652618369863354,False,-0.0,7,15
