datum,avd,bana,häst,kusk,streck,spår,dist,lopp_dist,start,ålder,kön,pris,h1_kusk,h1_bana,h1_spår,h1_plac,h1_pris,h1_odds,h1_kmtid,h2_kusk,h2_bana,h2_spår,h2_plac,h2_pris,h2_odds,h2_kmtid,h3_kusk,h3_bana,h3_spår,h3_plac,h3_pris,h3_odds,h3_kmtid,h4_kusk,h4_bana,h4_spår,h4_plac,h4_pris,h4_odds,h4_kmtid,h5_kusk,h5_bana,h5_spår,h5_plac,h5_pris,h5_odds,h5_kmtid,h1_dist,h2_dist,h3_dist,h4_dist,h5_dist,h1_auto,h2_auto,h3_auto,h4_auto,h5_auto,h1_perf,h2_perf,h3_perf,h4_perf,h5_perf,senast,delta1,delta2,delta3,delta4,rel_kr,streck_avst,rel_rank,h1_samma_bana,h2_samma_bana,h3_samma_bana,h1_samma_kusk,h2_samma_kusk,h3_samma_kusk,y,probat1,probat2,probat3,probat4,meta1_rf,meta2_ridge,meta3_knn,meta4_et,välj,spik,proba
2016-10-01,1.0,0.08641975308641975,0.08641975308641975,0.06932453357913669,20.0,4.0,1640.0,1640.0,0,4,0.0781586749702089,100000.0,0.08641975308641975,0.09258617023221932,2.0,1.0,60.0,4.16,14.9,0.07416101908267389,0.08641975308641975,2.0,3.0,70.0,6.82,13.8,0.08641975308641975,0.06791166520120877,2.0,1.0,35.0,1.8,13.8,0.07307090301747231,0.08641975308641975,2.0,1.0,100.0,3.93,15.7,0.08641975308641975,0.10713968912368492,2.0,1.0,35.0,4.1,14.9,2640.0,2140.0,2140.0,2140.0,2140.0,1,1,1,1,1,8494.48391898452,3375.327450682418,6487.769258055282,10966.331584284586,6487.769258055282,17.0,12.0,15.0,22.0,8.0,0.09233868711175779,5.0,0.16666666666666666,False,False,False,False,False,False,0,0.1548907432004778,0.1407334980419134,0.09572966459159059,0.16491550215310796,0.09930086507569946,0.3286921512174916,0.09260939023508834,0.12752319432229076,True,False,0.14011887549980168
2016-10-01,2.0,0.08641975308641975,0.08641975308641975,0.07307090301747231,15.0,1.0,2140.0,2140.0,0,4,0.0781586749702089,100000.0,0.08641975308641975,0.07416101908267389,0.0,1.0,0.0,3.3,12.9,0.08641975308641975,0.12455932471198387,0.0,1.0,0.0,7.4,14.4,0.08641975308641975,0.08641975308641975,0.0,5.0,0.0,11.7,16.3,0.08641975308641975,0.08641975308641975,0.0,5.0,0.0,1.4,30.0,0.08641975308641975,0.08641975308641975,0.0,5.0,0.0,1.6,15.8,1640.0,2000.0,2500.0,2000.0,2000.0,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,20.0,14.0,14.0,8.0,82.0,0.09731875226456735,5.0,0.2727272727272727,False,False,False,False,False,False,0,0.1396875555602789,0.13372867994522036,0.07352277624483405,0.11920429662910459,0.1597341229142633,0.28214270570496275,0.06755121878291978,0.12467325347369589,True,False,0.13957841186936626
2016-10-01,3.0,0.08641975308641975,0.08641975308641975,0.11389822712315431,12.0,2.0,2140.0,2140.0,0,7,0.11146979463182208,150000.0,0.07307090301747231,0.07065458436241365,4.0,3.0,35.0,6.71,14.0,0.12455932471198387,0.06791166520120877,4.0,2.0,250.0,7.29,12.3,0.07307090301747231,0.14386032826791254,4.0,2.0,150.0,6.47,13.0,0.11389822712315431,0.10229388548603974,4.0,2.0,250.0,10.46,13.2,0.10713968912368492,0.08641975308641975,4.0,2.0,150.0,1.96,14.4,2140.0,2140.0,2140.0,2140.0,2100.0,1,1,1,1,1,2386.7169291026403,10516.812635120496,8146.288038201084,10516.812635120496,8146.288038201084,18.0,262.0,14.0,28.0,28.0,0.09380638963534162,35.0,0.25,False,False,False,True,True,True,0,0.11255701116236959,0.11066054605747316,0.1386415484315557,0.12404989567666204,0.10449140928494095,0.32435988379547703,0.09286158170103559,0.11972255263975451,True,False,0.13932528555921045
2016-10-01,7.0,0.08641975308641975,0.08641975308641975,0.07307090301747231,13.0,1.0,2140.0,2140.0,0,5,0.11146979463182208,110000.0,0.10713968912368492,0.0953501240934021,4.0,1.0,70.0,1.54,15.7,0.10713968912368492,0.13526323739294277,4.0,3.0,110.0,19.54,12.4,0.07416101908267389,0.07416101908267389,4.0,2.0,0.0,18.8,30.0,0.11389822712315431,0.10713968912368492,4.0,2.0,100.0,13.73,12.9,0.07416101908267389,0.07190282340663544,4.0,2.0,30.0,2.98,14.7,3140.0,2140.0,2500.0,2140.0,2140.0,1,1,1,1,1,9175.091274289012,4231.196882217894,0.0,6651.416330443618,3643.130763542206,10.0,18.0,27.0,26.0,35.0,0.11559469559038249,30.0,0.25,False,False,False,True,True,False,0,0.09482561212069869,0.09980987701764144,0.07814156472696093,0.10219556484922494,0.0972737327297794,0.3276910146465549,0.09720750298088787,0.12016372738832176,True,False,0.13890993987676614
2016-10-01,2.0,0.08641975308641975,0.08641975308641975,0.08641975308641975,19.0,4.0,2140.0,2140.0,0,4,0.0781586749702089,100000.0,0.08641975308641975,0.08641975308641975,2.0,2.0,25.0,3.19,13.8,0.08641975308641975,0.06791166520120877,2.0,15.0,200.0,14.71,17.2,0.08641975308641975,0.06932453357913669,2.0,1.0,20.0,1.55,16.6,0.08641975308641975,0.10229388548603974,2.0,1.0,40.0,72.41,13.1,0.08641975308641975,0.07307090301747231,2.0,1.0,17.0,45.92,15.6,2140.0,2100.0,2640.0,2140.0,2640.0,1,1,1,1,1,3325.708165221809,14.142135623730953,4904.29257725266,6935.717076596412,4521.53434475524,19.0,288.0,23.0,23.0,16.0,0.09434599295101946,1.0,0.18181818181818182,True,False,True,True,True,True,0,0.16045782494420124,0.2029526421927173,0.06375702507775978,0.12772392573204877,0.13596113198882628,0.29878118706983475,0.0727803201376758,0.120516447356814,True,False,0.13739061755882906
2016-10-01,3.0,0.08641975308641975,0.08641975308641975,0.06932453357913669,13.0,11.0,2140.0,2140.0,0,7,0.0781586749702089,150000.0,0.07307090301747231,0.07065458436241365,1.0,15.0,0.0,0.0,16.8,0.07307090301747231,0.06791166520120877,1.0,1.0,250.0,2.04,11.4,0.07307090301747231,0.08641975308641975,1.0,1.0,150.0,1.42,12.6,0.06932453357913669,0.08641975308641975,1.0,1.0,150.0,1.28,15.5,0.11389822712315431,0.0664157220307793,1.0,1.0,250.0,1.38,13.1,2140.0,2140.0,2640.0,3140.0,2140.0,0,1,1,1,1,0.0,17339.292691491028,13430.958365832146,13430.958365832146,17339.292691491028,24.0,529.0,14.0,21.0,14.0,0.14287494645013046,34.0,0.16666666666666666,False,False,False,True,True,True,0,0.1326368409793612,0.1659721593608724,0.3618212644557893,0.13645516454375034,0.07516112567146908,0.33832186882701787,0.09805900728254334,0.12960656955571914,True,False,0.13407859913086637
2016-10-01,1.0,0.08641975308641975,0.08641975308641975,0.07307090301747231,16.0,5.0,1640.0,1640.0,0,7,0.0781586749702089,100000.0,0.07307090301747231,0.07065458436241365,12.0,4.0,60.0,3.64,14.7,0.10713968912368492,0.08641975308641975,12.0,1.0,100.0,2.84,14.1,0.08641975308641975,0.08641975308641975,12.0,5.0,100.0,25.67,14.1,0.06932453357913669,0.07190282340663544,12.0,5.0,100.0,6.51,30.0,0.08641975308641975,0.08641975308641975,12.0,5.0,20.0,1.65,16.3,2640.0,2660.0,2140.0,2660.0,2640.0,1,0,0,0,1,1895.375557221277,10966.331584284586,1484.131591025766,1484.131591025766,663.723825017706,24.0,46.0,16.0,250.0,15.0,0.08156584028205272,9.0,0.25,False,False,False,False,True,True,0,0.11612899345577224,0.10877136213902114,0.07281733374765104,0.12006834660166692,0.09741409967769282,0.3181200405195698,0.07290719878595535,0.10318543805842272,True,False,0.12356640699633573
2016-10-01,6.0,0.08641975308641975,0.08641975308641975,0.07190282340663544,16.0,7.0,2140.0,2140.0,0,5,0.0664157220307793,125000.0,0.07416101908267389,0.07190282340663544,1.0,1.0,150.0,1.64,12.8,0.07416101908267389,0.06791166520120877,1.0,1.0,60.0,1.11,10.5,0.07416101908267389,0.07065458436241365,1.0,2.0,200.0,8.21,11.1,0.07307090301747231,0.10229388548603974,1.0,2.0,0.0,2.4,12.5,0.07307090301747231,0.0664157220307793,1.0,2.0,200.0,2.48,10.2,2140.0,1640.0,1609.0,2100.0,1609.0,1,1,1,1,1,13430.958365832146,8494.48391898452,9406.523183503248,0.0,9406.523183503248,15.0,37.0,15.0,45.0,14.0,0.18614737991755032,18.0,0.3,False,False,False,False,True,True,0,0.10224864116383732,0.11385778785086223,0.1488784994695198,0.12054070560850585,0.061105169061590345,0.361304939692844,0.10773134253234781,0.09397688795247199,True,False,0.122272486816425
2016-10-01,7.0,0.08641975308641975,0.08641975308641975,0.06932453357913669,15.0,7.0,2140.0,2140.0,0,5,0.0781586749702089,110000.0,0.07307090301747231,0.07416101908267389,10.0,1.0,35.0,1.97,12.0,0.08641975308641975,0.07065458436241365,10.0,3.0,30.0,3.83,12.3,0.07416101908267389,0.06791166520120877,10.0,3.0,40.0,2.13,12.6,0.06932453357913669,0.10229388548603974,10.0,3.0,30.0,1.27,12.2,0.11389822712315431,0.08641975308641975,10.0,3.0,110.0,6.78,13.9,1640.0,1640.0,1640.0,1660.0,2140.0,1,1,1,0,1,6487.769258055282,2209.670505430644,2551.507722261517,2209.670505430644,4231.196882217894,16.0,23.0,13.0,22.0,45.0,0.10296649567452335,28.0,0.16666666666666666,False,False,False,True,False,False,0,0.13721507472550087,0.13749838157456537,0.1880081209336661,0.12832973807341733,0.06786879781258327,0.3131880151173584,0.08600743549920782,0.11577305011540309,True,False,0.12061593592441204
2016-10-01,4.0,0.08641975308641975,0.08641975308641975,0.06932453357913669,16.0,4.0,3160.0,3140.0,1,6,0.0781586749702089,100000.0,0.07307090301747231,0.07190282340663544,6.0,1.0,20.0,2.38,11.9,0.08641975308641975,0.08641975308641975,6.0,20.0,0.0,0.0,30.0,0.08641975308641975,0.06791166520120877,6.0,2.0,40.0,4.01,12.1,0.08641975308641975,0.07416101908267389,6.0,2.0,30.0,2.89,14.3,0.08641975308641975,0.07065458436241365,6.0,2.0,100.0,11.03,14.1,1640.0,1800.0,1640.0,2660.0,2140.0,1,1,1,0,1,4904.29257725266,0.0,4206.725054048198,3643.130763542206,6651.416330443618,15.0,17.0,20.0,9.0,9.0,0.058515434748567755,23.0,0.13333333333333333,False,False,False,False,False,False,0,0.10951131359793452,0.10837758050725844,0.09736420523534854,0.10800603294012813,0.09797461481275799,0.3034639689791289,0.07366061140703849,0.09642479318204743,False,False,0.1205483258672096
