datum,bana,avd,startnr,häst,ålder,kön,kusk,lopp_dist,start,dist,pris,spår,streck,vodds,podds,kr,plac,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_odds,h1_pris,h1_kmtid,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_odds,h2_pris,h2_kmtid,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_odds,h3_pris,h3_kmtid,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_odds,h4_pris,h4_kmtid,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_odds,h5_pris,h5_kmtid,bins,h1_auto,h2_auto,h3_auto,h4_auto,h5_auto,h1_perf,h2_perf,h3_perf,h4_perf,h5_perf,senast,delta1,delta2,delta3,delta4
2022-08-20,örebro,7,1,habrik am,5,h,örjan kihlström,1609.0,0,1609.0,110000.0,1.0,4.0,20.22,3.94,17955.0,4,2022-07-30,bollnäs-11,kim eriksson,4.0,2140.0,3.0,24.43,110.0,13.3,2022-07-09,halmstad-5,kim eriksson,4.0,2140.0,3.0,17.88,110.0,13.8,2022-06-28,solvalla-6,örjan kihlström,3.0,1640.0,3.0,6.68,40.0,11.3,2022-05-28,solvalla-10,örjan kihlström,3.0,2140.0,3.0,21.36,220.0,12.3,2022-05-18,solvalla-10,örjan kihlström,3.0,1640.0,3.0,4.54,60.0,30.0,18,1,0,1,1,1,2566.350636345657,2566.350636345657,2551.5077222615173,5983.816015903301,3124.9459971558285,21.0,21.0,11.0,31.0,10.0
2022-08-20,örebro,7,2,king of everything,6,h,claes svensson,1609.0,0,1609.0,110000.0,2.0,14.0,7.59,2.13,29326.0,1,2022-08-08,kalmar-8,claes svensson,2.0,2140.0,6.0,1.25,25.0,13.0,2022-07-12,jägersro-7,claes svensson,5.0,2140.0,6.0,5.27,150.0,12.7,2022-07-02,eskilstuna-9,claes svensson,4.0,2140.0,6.0,19.55,220.0,12.5,2022-06-19,vaggeryd-9,claes svensson,4.0,1646.0,6.0,3.42,40.0,11.3,2022-06-04,mantorp-5,claes svensson,4.0,1640.0,6.0,25.72,110.0,10.3,8,1,1,1,1,1,3325.708165221809,1817.6825545790462,3629.3678757248513,1547.5676620451568,2566.350636345657,12.0,27.0,10.0,13.0,15.0
2022-08-20,örebro,7,3,mojo express,5,v,torbjörn jansson,1609.0,0,1609.0,110000.0,3.0,4.0,13.95,3.41,14794.0,15,2022-08-06,rättvik-5,torbjörn jansson,4.0,2140.0,12.0,32.16,110.0,13.7,2022-07-20,eskilstuna-11,magnus a djuse,2.0,1640.0,12.0,14.41,100.0,10.9,2022-07-02,eskilstuna-4,örjan kihlström,2.0,1640.0,12.0,3.4,30.0,12.0,2022-06-22,solvalla-7,örjan kihlström,2.0,1640.0,12.0,24.2,100.0,12.0,2022-06-10,solvalla-7,per lennartsson,2.0,2140.0,12.0,14.91,40.0,12.7,14,0,1,1,1,1,2566.350636345657,6651.416330443618,3643.130763542206,6651.416330443618,4206.725054048198,14.0,17.0,18.0,10.0,12.0
2022-08-20,örebro,7,4,global lover,5,v,robert bergh,1609.0,0,1609.0,110000.0,4.0,5.0,13.33,3.55,25501.0,15,2022-07-30,bollnäs-11,robert bergh,5.0,2140.0,12.0,34.96,110.0,13.5,2022-07-21,bergsåker-6,rikard n skoglund,3.0,2140.0,12.0,18.56,90.0,14.0,2022-07-02,eskilstuna-11,rikard n skoglund,4.0,3140.0,12.0,24.84,400.0,14.6,2022-05-15,charlottenlund-12,robert bergh,4.0,2000.0,12.0,15.83,,12.1,2022-05-08,vaggeryd-10,robert bergh,4.0,2148.0,12.0,3.51,35.0,13.6,14,1,1,0,1,1,1556.570344516668,3827.2615833922764,4893.838645284408,,1447.6169935559349,21.0,9.0,19.0,48.0,7.0
2022-08-20,örebro,7,5,bravo santana,6,h,johan untersteiner,1609.0,0,1609.0,110000.0,5.0,25.0,3.67,1.75,22117.0,7,2022-07-23,axevalla-9,peter untersteiner,6.0,2640.0,7.0,15.98,110.0,13.4,2022-07-07,halmstad-4,peter johansson,1.0,1640.0,7.0,2.11,125.0,11.3,2022-06-16,åby-4,johan untersteiner,3.0,2140.0,7.0,6.83,35.0,13.2,2022-05-08,vaggeryd-10,peter untersteiner,3.0,2148.0,7.0,1.86,35.0,14.6,2021-12-13,mantorp-4,stefan persson,3.0,2140.0,7.0,1.81,25.0,30.0,3,1,1,1,1,1,944.1076379488159,12260.73144313165,2386.7169291026403,2386.7169291026403,2017.1439674636756,28.0,16.0,21.0,39.0,146.0
2022-08-20,örebro,7,6,jackson avery,7,v,erlend rennesvik,1609.0,0,1609.0,110000.0,6.0,7.0,9.35,2.82,19713.0,15,2022-08-12,årjäng-2,erlend rennesvik,1.0,1640.0,5.0,1.74,25.0,12.7,2022-07-29,romme-11,erlend rennesvik,1.0,1140.0,5.0,2.48,50.0,30.0,2022-07-16,årjäng-10,erlend rennesvik,5.0,1640.0,5.0,34.13,110.0,11.7,2022-07-02,momarken-8,erlend rennesvik,5.0,1640.0,5.0,7.54,,12.4,2022-05-28,solvalla-8,erlend rennesvik,5.0,2140.0,5.0,67.6,220.0,12.0,10,1,1,1,1,1,5483.165792142293,7754.367427987846,1556.570344516668,,2201.322892003233,8.0,14.0,13.0,14.0,35.0
2022-08-20,örebro,7,7,don't be weak,6,v,petter lundberg,1609.0,0,1609.0,110000.0,7.0,3.0,7.66,2.76,19535.0,20,2022-08-06,rättvik-5,mats e djuse,3.0,2140.0,8.0,13.77,110.0,13.6,2022-07-20,eskilstuna-11,petter lundberg,7.0,1640.0,8.0,12.75,100.0,11.6,2022-07-02,eskilstuna-4,petter lundberg,1.0,1640.0,8.0,2.85,30.0,11.9,2022-06-21,eskilstuna-4,petter lundberg,1.0,2140.0,8.0,3.01,25.0,13.7,2022-06-06,lindesberg-6,mats e djuse,1.0,2140.0,8.0,1.85,30.0,13.7,8,0,1,1,1,1,4231.196882217894,545.9815003314424,6006.507181794034,5483.165792142293,6006.507181794034,14.0,17.0,18.0,11.0,15.0
2022-08-20,örebro,7,8,lord horse,6,v,petter karlsson,1609.0,0,1609.0,110000.0,8.0,1.0,49.21,8.72,18471.0,6,2022-08-08,färjestad-4,petter karlsson,5.0,1640.0,11.0,13.37,40.0,12.0,2022-07-16,årjäng-10,petter karlsson,3.0,1640.0,11.0,18.8,110.0,11.6,2022-07-04,mantorp-6,petter karlsson,1.0,1640.0,11.0,4.6,75.0,12.4,2022-06-25,lindesberg-9,per lennartsson,1.0,2160.0,11.0,4.42,75.0,14.5,2022-06-25,lindesberg-4,per lennartsson,1.0,1640.0,11.0,2.22,30.0,12.8,25,1,1,1,0,1,938.6472350101867,4231.196882217894,9497.121738314101,9497.121738314101,6006.507181794034,12.0,23.0,12.0,9.0,0.0
2022-08-20,örebro,7,9,isan,6,s,hans crebas,1609.0,0,1609.0,110000.0,9.0,0.0,86.08,13.95,10435.0,8,2022-08-09,vaggeryd-4,hans crebas,6.0,1646.0,11.0,3.62,22.0,13.4,2022-07-23,axevalla-3,hans crebas,15.0,2140.0,11.0,24.08,50.0,13.6,2022-06-29,vaggeryd-10,hans crebas,4.0,1646.0,11.0,26.99,110.0,11.1,2022-06-07,årjäng-3,hans crebas,4.0,2140.0,11.0,2.15,22.0,14.3,2022-05-04,solvalla-4,hans crebas,4.0,2140.0,11.0,17.92,40.0,14.5,29,1,1,1,0,0,422.21777130606245,7.0710678118654755,2566.350636345657,1147.7068953937464,1547.5676620451568,11.0,17.0,24.0,22.0,34.0
2022-08-20,örebro,7,10,born to run,5,h,magnus a djuse,1609.0,0,1609.0,110000.0,10.0,34.0,3.84,1.87,20145.0,2,2022-07-30,bollnäs-11,jorma kontio,20.0,2140.0,9.0,1.71,110.0,30.0,2022-07-02,eskilstuna-5,magnus a djuse,1.0,2140.0,9.0,1.78,220.0,11.9,2022-06-11,östersund-7,alessandro gocciadoro,1.0,2140.0,9.0,1.45,110.0,13.9,2022-05-13,solvalla-4,magnus a djuse,1.0,2140.0,9.0,1.73,40.0,13.0,2022-03-18,neapel-8,federico esposito,1.0,3080.0,9.0,6.0,,16.0,3,1,1,1,1,0,0.8609147285877977,16265.698340872146,11501.58559756547,6935.717076596412,,21.0,28.0,21.0,29.0,56.0
2022-08-20,örebro,7,11,marvelous,9,v,jorma kontio,1609.0,0,1609.0,110000.0,11.0,1.0,53.28,10.3,16345.0,5,2022-07-27,boden-3,petter lundberg,1.0,1640.0,11.0,6.54,60.0,13.8,2022-07-02,eskilstuna-9,petter lundberg,7.0,2140.0,11.0,94.12,220.0,12.9,2022-06-18,boden-7,petter lundberg,2.0,2140.0,11.0,104.81,110.0,13.1,2022-06-10,boden-3,sandra eriksson,2.0,2140.0,11.0,5.42,35.0,14.9,2022-04-30,umåker-8,sandra eriksson,2.0,2140.0,11.0,7.28,25.0,14.1,26,1,1,1,1,1,8494.48391898452,809.8214353480527,6976.064300232707,3935.0309681516123,3325.708165221809,24.0,25.0,14.0,8.0,41.0
2022-08-20,örebro,7,12,conte prad,4,h,carl johan jepson,1609.0,0,1609.0,110000.0,12.0,1.0,34.93,7.32,18190.0,3,2022-07-22,axevalla-14,victor rosleff,1.0,1140.0,1.0,1.45,100.0,30.0,2022-07-22,axevalla-9,victor rosleff,1.0,1640.0,1.0,27.62,50.0,11.1,2022-07-22,axevalla-4,victor rosleff,5.0,1640.0,1.0,17.14,50.0,12.0,2022-06-29,vaggeryd-3,björn goop,5.0,2650.0,1.0,4.29,60.0,14.0,2022-06-08,tingsryd-4,carl johan jepson,5.0,1609.0,1.0,9.8,60.0,11.5,22,1,1,1,1,1,10966.331584284586,7754.367427987846,1049.439512187499,1149.6033871246218,1149.6033871246218,29.0,0.0,0.0,23.0,21.0
