datum,bana,avd,häst,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_kmtid,h1_odds,h1_pris,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_kmtid,h2_odds,h2_pris,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_kmtid,h3_odds,h3_pris,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_kmtid,h4_odds,h4_pris,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_kmtid,h5_odds,h5_pris
2019-09-28 00:00:00,SOLVALLA,7,ANTONIO TROT,210224,Solvalla,Claes Sjöström,1,2160,2,"12,8","2,86",100',210206,Solvalla,Claes Sjöström,1,2140,5,"12,4a","4,74",300',210123,Bollnäs,Claes Sjöström,4,2140,11,"13,4a","7,60",150',210109,Bergsåker,Erik Adielsson,3,2140,5,"12,4a","3,62",150',201212,Bergsåker,Jorma Kontio,7,2640,6,"15,0ag","2,38",150'
2019-09-14 00:00:00,BOLLNÄS,7,ANTONIO TROT,210224,Solvalla,Claes Sjöström,1,2160,2,"12,8","2,86",100',210206,Solvalla,Claes Sjöström,1,2140,5,"12,4a","4,74",300',210123,Bollnäs,Claes Sjöström,4,2140,11,"13,4a","7,60",150',210109,Bergsåker,Erik Adielsson,3,2140,5,"12,4a","3,62",150',201212,Bergsåker,Jorma Kontio,7,2640,6,"15,0ag","2,38",150'
2019-08-31 00:00:00,JÄGERSRO,6,GLOBAL WINNER,210227,Romme,Mika Forss,0,2140,6,"13,7ag","5,32",110',210203,Solvalla,Mika Forss,1,1640,7,"12,5a","5,43",60',210113,Solvalla,Mika Forss,2,2140,4,"13,6a","1,96",60',201128,Solvalla,Mika Forss,4,2140,2,"11,7a","23,85",220',201114,Romme,Mika Forss,6,2140,1,"12,9a","5,04",110'
2019-08-23 00:00:00,BERGSÅKER,6,ZINCO JET,210223,Eskilstuna,Ulf Ohlsson,1,2160,8,"14,8","2,38",30',201118,Solvalla,Mika Forss,5,2140,3,"13,6a","46,50",60',200829,Bergsåker,Ulf Ohlsson,0,1640,11,uag,"28,47",110',200807,Gävle,Jorma Kontio,2,2180,4,"13,5","1,85",30',200531,Solvalla,Ulf Ohlsson,6,2660,2,"13,0","6,51",100'
2019-08-21 00:00:00,JÄGERSRO,4,LYX HÅLERYD,210227,Romme,Rikard N Skoglund,4,2660,4,"14,8","5,57",110',210219,Romme,Rikard N Skoglund,3,1660,2,"13,6","3,35",35',210206,Solvalla,Rikard N Skoglund,2,2160,9,"14,5","12,22",220',210130,Eskilstuna,Rikard N Skoglund,2,2160,3,"14,4","11,84",110',210102,Kalmar,Rikard N Skoglund,5,2160,7,"14,4","6,77",110'
2019-08-21 00:00:00,JÄGERSRO,4,ZETA KRONOS,210206,Solvalla,Björn Goop,5,2140,3,"13,8a","10,90",220',210116,Jägersro,Björn Goop,5,2140,6,"14,0a","3,55",110',201231,Axevalla,Carl Johan Jepson,0,2140,1,"15,0a","2,52",100',201223,Mantorp,Björn Goop,1,2140,7,"13,5a","3,86",100',201214,Färjestad,Björn Goop,3,2160,2,"13,8","3,24",50'
2019-08-21 00:00:00,JÄGERSRO,6,GLOBAL WINNER,210227,Romme,Mika Forss,0,2140,6,"13,7ag","5,32",110',210203,Solvalla,Mika Forss,1,1640,7,"12,5a","5,43",60',210113,Solvalla,Mika Forss,2,2140,4,"13,6a","1,96",60',201128,Solvalla,Mika Forss,4,2140,2,"11,7a","23,85",220',201114,Romme,Mika Forss,6,2140,1,"12,9a","5,04",110'
2019-08-17 00:00:00,ÖREBRO,4,ARA,201223,Mantorp,Stefan Persson,2,2140,6,"13,7a","9,91",100',201209,Jägersro,Peter Untersteiner,1,2140,2,"14,3a","1,74",60',201125,Åby,Peter Untersteiner,3,1640,7,"12,3a","3,86",60',201031,Jägersro,Peter Untersteiner,0,2160,2,"14,8","3,74",110',201013,Jägersro,Peter Untersteiner,1,2140,2,"12,3a","1,34",35'
2019-08-17 00:00:00,ÖREBRO,7,ANTONIO TROT,210224,Solvalla,Claes Sjöström,1,2160,2,"12,8","2,86",100',210206,Solvalla,Claes Sjöström,1,2140,5,"12,4a","4,74",300',210123,Bollnäs,Claes Sjöström,4,2140,11,"13,4a","7,60",150',210109,Bergsåker,Erik Adielsson,3,2140,5,"12,4a","3,62",150',201212,Bergsåker,Jorma Kontio,7,2640,6,"15,0ag","2,38",150'
2019-08-11 00:00:00,DANNERO,7,APOLLON DE KACY,210227,Romme,Jörgen Westholm,0,1640,9,"11,6a","103,69",150',210217,Bergsåker,Per Linderoth,6,2140,7,"13,8a","19,85",100',201114,Vincennes,Mathieu Mottier,0,2850,,"15,2","74,20",,201025,Frankrike,Pierre Callier,0,2700,,"14,7","47,00",,201003,Skellefteå,Rikard N Skoglund,2,3180,1,"14,4","8,56",150'
2019-08-11 00:00:00,DANNERO,7,ELIAN WEB,210130,Eskilstuna,Jorma Kontio,0,2140,7,ua,"8,78",150',201226,Solvalla,Jorma Kontio,3,2140,5,"12,2a","17,72",300',201216,Solvalla,Jorma Kontio,5,2140,11,"13,3a","6,73",100',201121,Jägersro,Jorma Kontio,2,2140,2,"14,3a","1,68",150',201029,Gävle,Jorma Kontio,1,1640,7,"11,6","2,38",50'
2019-08-10 00:00:00,ÅBY,1,HIERRO BOKO,210306,Åby,Hanna Lähdekorpi,5,2140,8,"13,7","11,03",125',210224,Jägersro,Hanna Lähdekorpi,2,2140,6,"13,8a","2,49",60',210127,Jägersro,Hanna Lähdekorpi,1,1640,8,"12,2a","7,93",60',210116,Jägersro,Hanna Lähdekorpi,0,2140,7,"14,3","15,10",125',210102,Kalmar,Hanna Lähdekorpi,0,2640,7,"15,3a","17,42",125'
2019-08-10 00:00:00,ÅBY,7,HANDSOME BRAD,200808,Åby,Carl Johan Jepson,6,3140,3,"12,8a","10,65",2000',200718,Axevalla,Carl Johan Jepson,1,2640,7,"13,3a","1,60",150',200627,Kouvola,Carl Johan Jepson,4,2100,,"11,8a","11,10",,200606,Östersund,Carl Johan Jepson,1,2140,3,"12,3a","8,90",500',200516,Mantorp,Carl Johan Jepson,2,2640,11,"13,1a","8,19",150'
2019-07-13 00:00:00,ÅRJÄNG,7,DISCO VOLANTE,210227,Romme,Ulf Ohlsson,1,1640,7,"11,0a","1,77",150',210220,Mantorp,Ulf Ohlsson,3,2140,3,"15,9a","1,85",150',210206,Solvalla,Örjan Kihlström,4,2140,11,"12,6a","4,38",300',210123,Bollnäs,Ulf Ohlsson,1,2140,2,"13,3a","1,78",150',210109,Bergsåker,Ulf Ohlsson,1,2140,11,"12,2a","3,47",150'
2019-07-07 00:00:00,JARLSBERG,7,HANDSOME BRAD,200808,Åby,Carl Johan Jepson,6,3140,3,"12,8a","10,65",2000',200718,Axevalla,Carl Johan Jepson,1,2640,7,"13,3a","1,60",150',200627,Kouvola,Carl Johan Jepson,4,2100,,"11,8a","11,10",,200606,Östersund,Carl Johan Jepson,1,2140,3,"12,3a","8,90",500',200516,Mantorp,Carl Johan Jepson,2,2640,11,"13,1a","8,19",150'
2019-07-06 00:00:00,HALMSTAD,7,SIR HENRY P.HILL,210227,Romme,Jörgen Westholm,2,2180,2,"13,8","3,49",100',210206,Solvalla,Rikard N Skoglund,7,2140,8,"14,0a","16,90",250',210130,Eskilstuna,Rikard N Skoglund,4,1640,7,"11,8a","4,90",125',210102,Kalmar,Rikard N Skoglund,3,2640,1,"15,0a","3,08",125',201212,Bergsåker,Rikard N Skoglund,d,2140,12,5ag,"5,49",125'
2019-06-29 00:00:00,ESKILSTUNA,1,SOUTHWIND HYDRO,210217,Solvalla,Örjan Kihlström,3,1640,5,"13,0a","5,90",60',210130,Eskilstuna,Örjan Kihlström,7,1640,10,"12,0a","24,93",125',200926,Solvalla,Torbjörn Jansson,0,2140,12,uag,"147,85",250',200905,Jägersro,Örjan Kihlström,0,2140,11,"12,3a","21,47",125',200815,Romme,Örjan Kihlström,2,1640,5,"11,0a","5,60",125'
2019-06-29 00:00:00,ESKILSTUNA,7,NOBEL AMOK,210306,Åby,Robert Bergh,7,1640,5,"11,6a","19,25",150',210205,Cagnes sur Mer,Dominik Locqueneux,d,2150,,-a,"40,00",,210126,Frankrike,R W Denechere,d,2150,,-a,"5,40",,210113,Frankrike,Tony Le Beller,3,2950,,"15,5","6,40",,201118,Bergsåker,Rikard N Skoglund,d,2140,3,7ag,"35,44",60'
2019-06-15 00:00:00,BODEN,6,ZINCO JET,210223,Eskilstuna,Ulf Ohlsson,1,2160,8,"14,8","2,38",30',201118,Solvalla,Mika Forss,5,2140,3,"13,6a","46,50",60',200829,Bergsåker,Ulf Ohlsson,0,1640,11,uag,"28,47",110',200807,Gävle,Jorma Kontio,2,2180,4,"13,5","1,85",30',200531,Solvalla,Ulf Ohlsson,6,2660,2,"13,0","6,51",100'
2019-06-08 00:00:00,ÖSTERSUND,1,MR CLAYTON J.F.,210306,Åby,Örjan Kihlström,0,2140,6,ug,"5,04",125',210220,Mantorp,Örjan Kihlström,3,2140,6,"16,4a","13,94",125',210206,Solvalla,Jorma Kontio,d,2140,3,uag,"35,46",250',210123,Bollnäs,Erik Adielsson,8,1640,4,"13,7a","6,00",125',210109,Bergsåker,Erik Adielsson,3,2140,4,"13,1a","14,16",125'
2019-06-08 00:00:00,ÖSTERSUND,7,NOBEL AMOK,210306,Åby,Robert Bergh,7,1640,5,"11,6a","19,25",150',210205,Cagnes sur Mer,Dominik Locqueneux,d,2150,,-a,"40,00",,210126,Frankrike,R W Denechere,d,2150,,-a,"5,40",,210113,Frankrike,Tony Le Beller,3,2950,,"15,5","6,40",,201118,Bergsåker,Rikard N Skoglund,d,2140,3,7ag,"35,44",60'
2019-05-25 00:00:00,SOLVALLA,7,HANDSOME BRAD,200808,Åby,Carl Johan Jepson,6,3140,3,"12,8a","10,65",2000',200718,Axevalla,Carl Johan Jepson,1,2640,7,"13,3a","1,60",150',200627,Kouvola,Carl Johan Jepson,4,2100,,"11,8a","11,10",,200606,Östersund,Carl Johan Jepson,1,2140,3,"12,3a","8,90",500',200516,Mantorp,Carl Johan Jepson,2,2640,11,"13,1a","8,19",150'
2019-05-04 00:00:00,ÖREBRO,1,MR CLAYTON J.F.,210306,Åby,Örjan Kihlström,0,2140,6,ug,"5,04",125',210220,Mantorp,Örjan Kihlström,3,2140,6,"16,4a","13,94",125',210206,Solvalla,Jorma Kontio,d,2140,3,uag,"35,46",250',210123,Bollnäs,Erik Adielsson,8,1640,4,"13,7a","6,00",125',210109,Bergsåker,Erik Adielsson,3,2140,4,"13,1a","14,16",125'
2019-04-27 00:00:00,ÅBY,7,HANDSOME BRAD,200808,Åby,Carl Johan Jepson,6,3140,3,"12,8a","10,65",2000',200718,Axevalla,Carl Johan Jepson,1,2640,7,"13,3a","1,60",150',200627,Kouvola,Carl Johan Jepson,4,2100,,"11,8a","11,10",,200606,Östersund,Carl Johan Jepson,1,2140,3,"12,3a","8,90",500',200516,Mantorp,Carl Johan Jepson,2,2640,11,"13,1a","8,19",150'
2019-03-30 00:00:00,SOLVALLA,7,VÄSTERBO GROSBOIS,210227,Romme,Rauno Pöllänen,4,1640,6,"11,4a","10,84",150',210220,Mantorp,Rauno Pöllänen,2,2140,7,"15,7a","13,86",150',210206,Solvalla,Rauno Pöllänen,3,2140,9,"12,6a","54,82",300',210123,Bollnäs,Rauno Pöllänen,2,2140,4,"13,4a","79,11",150',210109,Bergsåker,Rauno Pöllänen,4,2140,2,"12,5a","62,70",150'
2019-03-03 00:00:00,ESKILSTUNA,1,MR PERFECT,210306,Åby,Jim Oscarsson,3,2140,2,"13,7","11,33",125',210220,Mantorp,Jim Oscarsson,8,2140,11,"17,2a","8,63",125',210213,Åby,Peter Ingves,0,2160,6,"13,9","36,04",150',210206,Solvalla,Kevin Oscarsson,4,2140,10,"13,6a","49,67",250',210126,Axevalla,Kevin Oscarsson,1,2140,3,"14,3a","4,22",35'
2019-02-23 00:00:00,BERGSÅKER,7,SIR HENRY P.HILL,210227,Romme,Jörgen Westholm,2,2180,2,"13,8","3,49",100',210206,Solvalla,Rikard N Skoglund,7,2140,8,"14,0a","16,90",250',210130,Eskilstuna,Rikard N Skoglund,4,1640,7,"11,8a","4,90",125',210102,Kalmar,Rikard N Skoglund,3,2640,1,"15,0a","3,08",125',201212,Bergsåker,Rikard N Skoglund,d,2140,12,5ag,"5,49",125'
2019-02-16 00:00:00,AXEVALLA,7,NIGHT BRODDE,210220,Mantorp,Conrad Lugauer,8,2140,9,"17,6a","6,75",150',210206,Solvalla,Conrad Lugauer,1,2140,9,"13,4a","9,41",250',210116,Jägersro,Conrad Lugauer,1,2140,4,"12,9","5,60",125',201226,Solvalla,Marc Elias,3,2140,2,"12,1a","4,72",250',201205,Åby,Marc Elias,7,2640,2,"14,0a","3,77",125'
2019-02-09 00:00:00,SOLVALLA,1,HIERRO BOKO,210306,Åby,Hanna Lähdekorpi,5,2140,8,"13,7","11,03",125',210224,Jägersro,Hanna Lähdekorpi,2,2140,6,"13,8a","2,49",60',210127,Jägersro,Hanna Lähdekorpi,1,1640,8,"12,2a","7,93",60',210116,Jägersro,Hanna Lähdekorpi,0,2140,7,"14,3","15,10",125',210102,Kalmar,Hanna Lähdekorpi,0,2640,7,"15,3a","17,42",125'
2019-02-02 00:00:00,ÅBY,7,DISCO VOLANTE,210227,Romme,Ulf Ohlsson,1,1640,7,"11,0a","1,77",150',210220,Mantorp,Ulf Ohlsson,3,2140,3,"15,9a","1,85",150',210206,Solvalla,Örjan Kihlström,4,2140,11,"12,6a","4,38",300',210123,Bollnäs,Ulf Ohlsson,1,2140,2,"13,3a","1,78",150',210109,Bergsåker,Ulf Ohlsson,1,2140,11,"12,2a","3,47",150'
2018-12-15 00:00:00,ÅBY,1,MR PERFECT,210306,Åby,Jim Oscarsson,3,2140,2,"13,7","11,33",125',210220,Mantorp,Jim Oscarsson,8,2140,11,"17,2a","8,63",125',210213,Åby,Peter Ingves,0,2160,6,"13,9","36,04",150',210206,Solvalla,Kevin Oscarsson,4,2140,10,"13,6a","49,67",250',210126,Axevalla,Kevin Oscarsson,1,2140,3,"14,3a","4,22",35'
2018-12-08 00:00:00,BERGSÅKER,7,DISCO VOLANTE,210227,Romme,Ulf Ohlsson,1,1640,7,"11,0a","1,77",150',210220,Mantorp,Ulf Ohlsson,3,2140,3,"15,9a","1,85",150',210206,Solvalla,Örjan Kihlström,4,2140,11,"12,6a","4,38",300',210123,Bollnäs,Ulf Ohlsson,1,2140,2,"13,3a","1,78",150',210109,Bergsåker,Ulf Ohlsson,1,2140,11,"12,2a","3,47",150'
2018-11-10 00:00:00,ESKILSTUNA,7,DISCO VOLANTE,210227,Romme,Ulf Ohlsson,1,1640,7,"11,0a","1,77",150',210220,Mantorp,Ulf Ohlsson,3,2140,3,"15,9a","1,85",150',210206,Solvalla,Örjan Kihlström,4,2140,11,"12,6a","4,38",300',210123,Bollnäs,Ulf Ohlsson,1,2140,2,"13,3a","1,78",150',210109,Bergsåker,Ulf Ohlsson,1,2140,11,"12,2a","3,47",150'
2018-11-03 00:00:00,ROMME,7,ANTONIO TROT,210224,Solvalla,Claes Sjöström,1,2160,2,"12,8","2,86",100',210206,Solvalla,Claes Sjöström,1,2140,5,"12,4a","4,74",300',210123,Bollnäs,Claes Sjöström,4,2140,11,"13,4a","7,60",150',210109,Bergsåker,Erik Adielsson,3,2140,5,"12,4a","3,62",150',201212,Bergsåker,Jorma Kontio,7,2640,6,"15,0ag","2,38",150'
