Learn: 2023-01-17 16:58:58,936 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\Users\\peter\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335 
Learn: 2023-01-17 16:58:58,936 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\Users\\peter\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 
Learn: 2023-01-17 16:58:58,936 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\Users\\peter\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 
Learn: 2023-01-17 16:58:58,936 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\Users\\peter\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335 
Learn: 2023-01-17 16:58:58,936 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\Users\\peter\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymReg.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 
Learn: 2023-01-17 16:58:58,936 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\Users\\peter\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 
Learn: 2023-01-17 16:58:58,936 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\Users\\peter\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996 
Learn: 2023-01-17 16:58:58,936 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\Users\\peter\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 
Learn: 2023-01-17 16:58:58,936 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\Users\\peter\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 
Learn: 2023-01-17 16:58:58,936 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\Users\\peter\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFiveSymReg.ttf', name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 
Learn: 2023-01-17 16:58:58,936 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\Users\\peter\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05 
Learn: 2023-01-17 16:58:58,936 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\Users\\peter\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUni.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 
Learn: 2023-01-17 16:58:58,936 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\Users\\peter\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335 
Learn: 2023-01-17 16:58:58,936 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\windows\\Fonts\\CALISTB.TTF', name='Calisto MT', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335 
Learn: 2023-01-17 16:58:58,937 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\palai.ttf', name='Palatino Linotype', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05 
Learn: 2023-01-17 16:58:58,937 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\gadugi.ttf', name='Gadugi', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 
Learn: 2023-01-17 16:58:58,937 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\windows\\Fonts\\verdanaz.ttf', name='Verdana', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 4.971363636363637 
Learn: 2023-01-17 16:58:58,937 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\GILI____.TTF', name='Gill Sans MT', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05 
Learn: 2023-01-17 16:58:58,937 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\GeorgiaPro-CondBlack.ttf', name='Georgia Pro', style='normal', variant='normal', weight=900, stretch='condensed', size='scalable')) = 10.725 
Learn: 2023-01-17 16:58:58,937 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\windows\\Fonts\\Candarab.ttf', name='Candara', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335 
Learn: 2023-01-17 16:58:58,937 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\micross.ttf', name='Microsoft Sans Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 
Learn: 2023-01-17 16:58:58,937 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\LTYPEO.TTF', name='Lucida Sans Typewriter', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05 
Learn: 2023-01-17 16:58:58,937 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\BRITANIC.TTF', name='Britannic Bold', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 
Learn: 2023-01-17 16:58:58,937 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\seguiemj.ttf', name='Segoe UI Emoji', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 
Learn: 2023-01-17 16:58:58,937 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\MAGNETOB.TTF', name='Magneto', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335 
Learn: 2023-01-17 16:58:58,937 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\pala.ttf', name='Palatino Linotype', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 
Learn: 2023-01-17 16:58:58,937 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\windows\\Fonts\\BRADHITC.TTF', name='Bradley Hand ITC', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 
Learn: 2023-01-17 16:58:58,937 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\calibri.ttf', name='Calibri', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 
Learn: 2023-01-17 16:58:58,937 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\windows\\Fonts\\corbel.ttf', name='Corbel', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 
Learn: 2023-01-17 16:58:58,938 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\FRABKIT.TTF', name='Franklin Gothic Book', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05 
Learn: 2023-01-17 16:58:58,938 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\VerdanaPro-SemiBoldItalic.ttf', name='Verdana Pro', style='italic', variant='normal', weight=600, stretch='normal', size='scalable')) = 11.24 
Learn: 2023-01-17 16:58:58,938 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\windows\\Fonts\\MTCORSVA.TTF', name='Monotype Corsiva', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 
Learn: 2023-01-17 16:58:58,938 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\windows\\Fonts\\seguibl.ttf', name='Segoe UI', style='normal', variant='normal', weight=900, stretch='normal', size='scalable')) = 10.525 
Learn: 2023-01-17 16:58:58,938 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\COOPBL.TTF', name='Cooper Black', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 
Learn: 2023-01-17 16:58:58,938 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\windows\\Fonts\\GeorgiaPro-BlackItalic.ttf', name='Georgia Pro', style='italic', variant='normal', weight=900, stretch='normal', size='scalable')) = 11.525 
Learn: 2023-01-17 16:58:58,938 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\windows\\Fonts\\impact.ttf', name='Impact', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 
Learn: 2023-01-17 16:58:58,938 - DEBUG - 1479 - findfont: score(FontEntry(fname='C:\\windows\\Fonts\\VerdanaPro-Italic.ttf', name='Verdana Pro', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05 
